競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数,3連単_的中,3連単_配当金(円),人気,A=B-abcd判定,A=B-abcdCD判定
防府競輪,1R,08:50,最終日,チ,"=""4-1""","=""4-1-3""",5,"=""3-5-1""",2,0.39,0.18,0.12,0.08,0.79,56.54,7,"=""4-5-3""",3130,12,不的中,不的中
防府競輪,2R,09:10,最終日,チ,"=""7-1""","=""7-1-4""",2,"=""4-5-2""",7,0.37,0.27,0.03,0.01,0.96,60.8,7,"=""1-7-5""",210,1,的中,的中
防府競輪,3R,09:31,最終日,チ,"=""3-2""","=""3-2-4""",1,"=""4-7-1""",2,0.38,0.32,0.16,0.14,0.64,50.15,7,"=""3-4-6""",22940,63,不的中,不的中
防府競輪,4R,09:52,最終日,チ,"=""4-1""","=""4-1-3""",5,"=""3-1-7""",5,0.42,0.31,0.13,0.09,0.78,56.18,7,"=""2-4-1""",4360,15,不的中,不的中
防府競輪,5R,10:13,最終日,チ,"=""7-1""","=""7-1-2""",3,"=""4-3-2""",5,0.33,0.31,0.16,0.09,0.74,50.26,7,"=""1-3-6""",33680,65,不的中,不的中
防府競輪,6R,10:34,最終日,ガ,"=""3-5""","=""3-5-4""",2,"=""4-2-5""",1,0.37,0.27,0.11,0.09,0.76,50.3,5,"=""2-1-3""",9440,48,不的中,不的中
防府競輪,7R,10:55,最終日,ガ,"=""4-6""","=""4-6-2""",1,"=""1-3-2""",5,0.42,0.28,0.21,0.2,0.52,47.59,7,"=""2-6-1""",7000,28,不的中,不的中
岸和田競輪,1R,11:05,初日,Ａ,"=""7-4""","=""7-4-1""",5,"=""1-3-5""",4,0.44,0.32,0.16,0.04,0.9,60.95,7,"=""4-1-7""",3110,10,不的中,不的中
小田原競輪,1R,11:14,最終日,Ｓ,"=""1-5""","=""1-5-2""",4,"=""2-5-4""",7,0.48,0.23,0.22,0.1,0.79,60.83,8,"=""2-7-1""",14510,41,不的中,不的中
大宮競輪,1R,11:23,初日,チ,"=""3-2""","=""3-2-7""",1,"=""7-4-2""",1,0.3,0.24,0.09,0.07,0.77,49.64,7,"=""7-3-1""",13310,47,不的中,不的中
岸和田競輪,2R,11:32,初日,Ａ,"=""2-1""","=""2-1-4""",3,"=""4-3-5""",7,0.44,0.26,0.11,0.11,0.75,56.84,7,"=""2-4-5""",4980,18,不的中,不的中
小田原競輪,2R,11:41,最終日,Ｓ,"=""1-2""","=""1-2-4""",5,"=""3-4-5""",7,0.3,0.25,0.15,0.15,0.51,40.57,8,"=""2-3-5""",32060,124,不的中,不的中
大宮競輪,2R,11:50,初日,チ,"=""1-5""","=""1-5-3""",7,"=""3-7-4""",2,0.28,0.23,0.08,0.03,0.88,51.92,7,"=""5-1-2""",1990,6,的中,的中
岸和田競輪,3R,11:59,初日,Ａ,"=""4-3""","=""4-3-1""",2,"=""1-7-5""",2,0.5,0.27,0.11,0.11,0.78,60.81,7,"=""5-1-7""",20140,70,不的中,不的中
小田原競輪,3R,12:08,最終日,Ｓ,"=""3-2""","=""3-2-9""",4,"=""2-1-9""",4,0.44,0.22,0.21,0.13,0.71,56.7,9,"=""9-8-1""",43180,124,不的中,不的中
大宮競輪,3R,12:17,初日,チ,"=""4-3""","=""4-3-7""",1,"=""7-3-5""",1,0.15,0.06,0.05,0.04,0.72,42.72,7,"=""4-3-7""",170,1,的中,的中
岸和田競輪,4R,12:26,初日,Ａ,"=""1-4""","=""1-4-5""",2,"=""5-7-2""",4,0.36,0.18,0.08,0.07,0.82,55.63,7,"=""1-4-5""",610,1,的中,的中
小田原競輪,4R,12:35,最終日,Ｓ,"=""5-1""","=""5-1-2""",7,"=""7-2-5""",1,0.34,0.27,0.18,0.13,0.62,47.45,9,"=""2-4-3""",21510,76,不的中,不的中
大宮競輪,4R,12:44,初日,チ,"=""1-3""","=""1-3-7""",2,"=""4-7-2""",5,0.21,0.12,0.11,0.07,0.69,43.23,7,"=""3-1-4""",120,1,的中,的中
岸和田競輪,5R,12:53,初日,Ａ,"=""3-7""","=""3-7-5""",2,"=""5-2-1""",7,0.44,0.24,0.19,0.15,0.67,54.07,7,"=""4-3-6""",54890,109,不的中,不的中
小田原競輪,5R,13:02,最終日,Ｓ,"=""7-2""","=""7-2-9""",3,"=""2-3-9""",1,0.4,0.22,0.2,0.16,0.6,51.76,9,"=""4-5-9""",119960,261,不的中,不的中
大宮競輪,5R,13:11,初日,ガ,"=""6-5""","=""6-5-7""",2,"=""2-7-5""",1,0.42,0.16,0.12,0.09,0.79,58.44,7,"=""6-5-7""",560,1,的中,的中
岸和田競輪,6R,13:20,初日,Ｓ,"=""1-4""","=""1-4-7""",5,"=""7-5-1""",3,0.29,0.22,0.17,0.12,0.6,43.04,7,"=""4-2-5""",54120,136,不的中,不的中
小田原競輪,6R,13:29,最終日,Ｓ,"=""2-5""","=""2-5-7""",1,"=""7-1-5""",3,0.45,0.18,0.13,0.11,0.75,59.42,9,"=""2-3-6""",37460,95,不的中,不的中
大宮競輪,6R,13:38,初日,ガ,"=""1-4""","=""1-4-3""",2,"=""3-4-2""",7,0.27,0.1,0.09,0.05,0.82,51.77,7,"=""1-4-2""",600,2,的中,的中
岸和田競輪,7R,13:47,初日,Ｓ,"=""7-2""","=""7-2-5""",4,"=""5-4-2""",3,0.43,0.25,0.2,0.1,0.75,55.88,7,"=""3-2-7""",61820,124,不的中,不的中
小田原競輪,7R,13:56,最終日,Ｓ,"=""1-7""","=""1-7-5""",2,"=""5-3-7""",2,0.5,0.19,0.17,0.13,0.73,61.31,9,"=""1-6-4""",12480,38,不的中,不的中
大宮競輪,7R,14:05,初日,Ａ,"=""5-2""","=""5-2-1""",4,"=""1-4-2""",7,0.41,0.22,0.14,0.06,0.86,59.68,7,"=""5-2-7""",690,2,的中,的中
岸和田競輪,8R,14:14,初日,Ｓ,"=""7-4""","=""7-4-5""",2,"=""4-5-3""",2,0.46,0.2,0.13,0.06,0.86,62.31,7,"=""7-4-6""",4440,8,不的中,不的中
小田原競輪,8R,14:23,最終日,Ｓ,"=""7-1""","=""7-1-9""",5,"=""9-5-2""",1,0.38,0.24,0.18,0.11,0.7,53.34,9,"=""2-5-1""",12060,40,不的中,不的中
大宮競輪,8R,14:32,初日,Ａ,"=""1-2""","=""1-2-5""",7,"=""2-7-5""",4,0.4,0.2,0.13,0.11,0.73,55.35,7,"=""1-2-5""",1390,4,的中,的中
岸和田競輪,9R,14:42,初日,Ｓ,"=""3-4""","=""3-4-5""",2,"=""2-1-5""",4,0.31,0.27,0.13,0.11,0.65,45.4,7,"=""3-4-7""",1690,8,不的中,不的中
小田原競輪,9R,14:52,最終日,Ｓ,"=""2-5""","=""2-5-1""",7,"=""5-7-1""",3,0.42,0.21,0.12,0.12,0.72,57.71,9,"=""5-9-6""",36780,97,不的中,不的中
大宮競輪,9R,15:01,初日,Ａ,"=""1-5""","=""1-5-3""",2,"=""3-2-4""",1,0.45,0.25,0.2,0.07,0.85,60.27,7,"=""1-5-6""",1300,5,不的中,不的中
岸和田競輪,10R,15:11,初日,Ｓ,"=""4-3""","=""4-3-7""",2,"=""7-2-3""",4,0.32,0.32,0.23,0.14,0.58,43.13,7,"=""7-3-4""",3540,13,不的中,不的中
小田原競輪,10R,15:21,最終日,Ｓ,"=""1-9""","=""1-9-3""",4,"=""9-4-5""",3,0.28,0.21,0.1,0.1,0.64,46.19,9,"=""1-5-3""",9950,31,不的中,不的中
大宮競輪,10R,15:30,初日,Ａ,"=""3-7""","=""3-7-2""",1,"=""2-1-5""",7,0.23,0.22,0.08,0.04,0.83,47.72,7,"=""7-3-2""",1550,5,的中,的中
名古屋競輪,1R,15:36,初日,Ａ,"=""4-3""","=""4-3-7""",2,"=""2-5-3""",7,0.43,0.23,0.16,0.14,0.68,54.24,7,"=""3-5-2""",14880,51,不的中,不的中
岸和田競輪,11R,15:42,初日,Ｓ,"=""7-3""","=""7-3-2""",1,"=""1-5-2""",7,0.37,0.2,0.14,0.1,0.74,53.02,7,"=""2-7-5""",5550,18,不的中,不的中
いわき平競輪,1R,15:48,最終日,Ａ,"=""1-7""","=""1-7-5""",2,"=""5-7-3""",2,0.4,0.16,0.11,0.08,0.8,57.02,7,"=""7-4-2""",10330,35,不的中,不的中
小田原競輪,11R,15:54,最終日,Ｓ,"=""5-9""","=""5-9-2""",3,"=""9-7-2""",3,0.2,0.16,0.14,0.13,0.34,32.11,9,"=""1-7-8""",9090,27,不的中,不的中
大宮競輪,11R,16:00,初日,Ａ,"=""3-2""","=""3-2-1""",4,"=""4-2-3""",6,0.33,0.21,0.11,0.09,0.73,50.15,7,"=""3-7-2""",5320,15,不的中,不的中
久留米競輪,1R,16:06,初日,チ,"=""1-7""","=""1-7-4""",2,"=""2-4-3""",5,0.39,0.26,0.17,0.09,0.78,55.13,7,"=""1-7-3""",200,1,的中,的中
名古屋競輪,2R,16:12,初日,Ａ,"=""3-5""","=""3-5-4""",1,"=""4-1-5""",7,0.41,0.23,0.15,0.12,0.7,54.21,7,"=""5-4-3""",4950,12,不的中,不的中
岸和田競輪,12R,16:18,初日,Ｓ,"=""5-7""","=""5-7-3""",4,"=""4-3-1""",2,0.48,0.33,0.22,0.16,0.67,55.67,7,"=""7-1-4""",3880,7,不的中,不的中
いわき平競輪,2R,16:24,最終日,Ａ,"=""4-1""","=""4-1-2""",5,"=""7-2-1""",5,0.47,0.25,0.2,0.13,0.73,57.88,7,"=""7-4-2""",9630,29,不的中,不的中
小田原競輪,12R,16:30,最終日,Ｓ,"=""9-5""","=""9-5-2""",7,"=""3-7-2""",5,0.29,0.27,0.16,0.13,0.56,42.67,9,"=""3-5-4""",12190,32,不的中,不的中
久留米競輪,2R,16:36,初日,チ,"=""1-3""","=""1-3-4""",7,"=""3-5-4""",7,0.45,0.16,0.1,0.05,0.88,62.77,7,"=""3-4-5""",5140,16,不的中,不的中
名古屋競輪,3R,16:42,初日,Ａ,"=""7-1""","=""7-1-2""",5,"=""1-2-5""",4,0.4,0.11,0.11,0.05,0.87,60.34,7,"=""7-1-5""",2340,7,的中,的中
いわき平競輪,3R,16:48,最終日,Ａ,"=""4-5""","=""4-5-2""",7,"=""2-5-7""",6,0.45,0.17,0.12,0.09,0.79,59.24,7,"=""3-4-5""",3860,11,不的中,不的中
久留米競輪,3R,16:58,初日,チ,"=""5-7""","=""5-7-3""",2,"=""7-3-1""",4,0.38,0.1,0.1,0.09,0.77,55.78,7,"=""5-7-3""",780,2,的中,的中
名古屋競輪,4R,17:05,初日,Ａ,"=""7-4""","=""7-4-5""",3,"=""4-5-1""",3,0.35,0.1,0.04,0.03,0.92,59.59,7,"=""7-4-1""",230,1,的中,的中
いわき平競輪,4R,17:12,最終日,Ａ,"=""5-1""","=""5-1-4""",3,"=""4-7-3""",1,0.38,0.32,0.16,0.08,0.8,53.49,7,"=""4-2-5""",6610,17,不的中,不的中
