競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数,3連単_的中,3連単_配当金(円),1着,2着,3着,連結,人気,A=B-abcd判定,A=B-CD判定,A-BCD-BCD判定,B-ACD-ACD判定,ABCD-ABCD-ABCD判定,ABCボックス判定,ABDボックス判定,C=B-AD判定,C=B-A判定,c=b-a判定
小松島競輪,1R,8:50,最終日,Ａ,3-4,3-4-7,2,6-2-7,4,0.34,0.3,0.12,0.09,0.74,49.27,7,3-2-4,19280,A,D,B,A-D-B,87,不的中,不的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
西武園競輪,1R,9:00,初日,Ａ,1-7,1-7-2,5,7-3-2,4,0.46,0.38,0.33,0.25,0.45,46.72,7,1-5-7,1690,A,D,B,A-D-B,5,不的中,不的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
小松島競輪,2R,9:10,最終日,Ａ,1-2,1-2-3,7,2-7-5,3,0.44,0.28,0.2,0.19,0.57,48.93,7,2-7-6,17230,B,D,FALSE,B-D-FALSE,61,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
西武園競輪,2R,9:20,初日,Ａ,2-3,2-3-4,7,7-4-3,2,0.39,0.18,0.11,0.1,0.75,54.35,7,2-3-5,1200,A,B,FALSE,A-B-FALSE,3,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,3R,9:30,最終日,Ａ,7-3,7-3-5,1,5-1-2,4,0.47,0.44,0.17,0.13,0.72,55.46,7,4-3-1,4130,d,B,D,d-B-D,14,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
西武園競輪,3R,9:40,初日,Ａ,1-2,1-2-3,5,4-5-2,7,0.42,0.36,0.31,0.12,0.72,51.96,7,1-3-2,2760,A,C,B,A-C-B,9,不的中,不的中,的中,不的中,的中,的中,不的中,不的中,不的中,不的中
小松島競輪,4R,9:50,最終日,Ａ,4-6,4-6-5,3,2-6-3,5,0.36,0.14,0.11,0.11,0.7,51.03,7,6-3-4,12430,B,D,A,B-D-A,50,不的中,不的中,不的中,的中,的中,不的中,的中,不的中,不的中,不的中
西武園競輪,4R,10:00,初日,Ａ,7-1,7-1-4,2,4-2-3,1,0.22,0.19,0.17,0.12,0.46,32.14,7,1-7-5,1140,B,A,FALSE,B-A-FALSE,3,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,5R,10:10,最終日,Ａ,1-5,1-5-4,3,4-7-3,2,0.48,0.32,0.21,0.1,0.8,58.7,7,1-5-6,3670,A,B,FALSE,A-B-FALSE,10,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
西武園競輪,5R,10:20,初日,Ａ,4-2,4-2-1,7,2-7-1,6,0.45,0.45,0.35,0.19,0.57,48.37,7,2-7-5,58640,B,D,FALSE,B-D-FALSE,56,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,6R,10:30,最終日,Ａ,4-1,4-1-2,5,2-7-3,5,0.29,0.25,0.12,0.11,0.64,43.19,7,4-1-3,2090,A,B,c,A-B-c,5,的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
西武園競輪,6R,10:40,初日,Ａ,1-3,1-3-4,7,1-3-4,7,0.26,0.19,0.11,0.11,0.57,39.69,7,5-3-2,7210,FALSE,B,FALSE,FALSE-B-FALSE,17,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,7R,10:50,最終日,Ａ,5-1,5-1-4,2,7-2-3,6,0.45,0.3,0.09,0.09,0.79,58.1,7,5-6-1,1410,A,d,B,A-d-B,4,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
西武園競輪,7R,11:00,初日,Ａ,1-6,1-6-5,7,2-4-5,3,0.31,0.14,0.13,0.1,0.66,46.06,7,5-3-1,2950,C,d,A,C-d-A,6,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,1R,11:05,2日目,Ａ,1-2,1-2-7,4,5-4-7,1,0.31,0.3,0.2,0.1,0.68,45.02,7,1-3-2,10230,A,FALSE,B,A-FALSE-B,36,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
いわき平競輪,1R,11:16,初日,Ｓ,1-9,1-9-3,5,3-5-7,1,0.47,0.18,0.18,0.14,0.71,58.46,9,4-5-9,137490,FALSE,D,B,FALSE-D-B,255,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,2R,11:28,2日目,Ａ,7-2,7-2-1,5,6-1-5,3,0.44,0.42,0.3,0.19,0.56,48.05,7,7-4-6,66210,A,FALSE,a,A-FALSE-a,137,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
