競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数,3連単_的中,3連単_配当金(円),人気,A=B-abcd判定,A=B-CD判定,A-BCD-BCD判定,B-ACD-ACD判定,ABCD-ABCD-ABCD判定,ABCボックス判定,ABDボックス判定,C=B-AD判定,C=B-A判定,c=b-a判定
和歌山競輪,1R,08:50,2日目,チ,"=""3-1""","=""3-1-5""",6,"=""3-6-4""",5,0.48,0.38,0.37,0.35,0.26,37.7,6,,,,,,,,,,,nan,nan,nan
和歌山競輪,2R,09:10,2日目,チ,"=""5-1""","=""5-1-6""",2,"=""5-1-6""",2,0.48,0.37,0.33,0.26,0.47,45.59,6,"=""5-1-4""",630,1,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
和歌山競輪,3R,09:31,2日目,チ,"=""5-2""","=""5-2-1""",3,"=""5-2-6""",4,0.8,0.33,0.25,0.21,0.73,74.27,7,"=""5-1-7""",7190,15,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
和歌山競輪,4R,09:52,2日目,チ,"=""1-3""","=""1-3-5""",2,"=""4-1-3""",2,0.78,0.4,0.34,0.19,0.76,73.81,7,"=""4-2-7""",71150,111,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
和歌山競輪,5R,10:13,2日目,チ,"=""2-5""","=""2-5-1""",7,"=""2-5-7""",3,0.96,0.76,0.53,0.39,0.59,75.75,7,"=""2-5-7""",3390,10,的中,的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
和歌山競輪,6R,10:34,2日目,チ,"=""3-7""","=""3-7-1""",2,"=""3-7-2""",6,0.97,0.91,0.56,0.31,0.68,77.83,7,"=""3-7-2""",380,1,的中,的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
和歌山競輪,7R,10:55,2日目,チ,"=""3-1""","=""3-1-2""",4,"=""3-1-6""",7,0.97,0.78,0.45,0.33,0.66,78.18,7,"=""3-4-1""",1220,5,不的中,不的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
取手競輪,1R,11:05,2日目,Ｓ,"=""1-2""","=""1-2-3""",7,"=""1-7-2""",4,0.71,0.62,0.28,0.24,0.66,67.45,9,"=""9-2-6""",18900,70,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
取手競輪,2R,11:27,2日目,Ｓ,"=""3-2""","=""3-2-1""",9,"=""3-4-1""",2,0.63,0.48,0.39,0.22,0.65,61.67,9,"=""2-7-5""",8960,24,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
取手競輪,3R,11:50,2日目,Ｓ,"=""1-5""","=""1-5-2""",8,"=""5-1-4""",7,0.51,0.51,0.39,0.25,0.5,50.76,9,"=""5-1-7""",660,1,的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
