競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数
岐阜競輪,1R,08:30,初日,Ａ,"=""5-1""","=""5-1-7""",3,"=""5-1-6""",3,0.85,0.53,0.48,0.39,0.55,69.3,7
青森競輪,1R,08:40,2日目,Ａ,"=""1-4""","=""1-4-3""",7,"=""1-4-2""",5,0.76,0.74,0.31,0.31,0.6,65.03,7
岐阜競輪,2R,08:50,初日,Ａ,"=""4-1""","=""4-1-2""",7,"=""4-1-7""",6,0.85,0.39,0.28,0.21,0.76,78.24,7
青森競輪,2R,09:00,2日目,Ａ,"=""3-7""","=""3-7-2""",1,"=""7-1-2""",6,0.34,0.31,0.29,0.28,0.17,30.05,7
岐阜競輪,3R,09:10,初日,Ａ,"=""5-2""","=""5-2-1""",6,"=""5-6-2""",4,0.91,0.31,0.21,0.17,0.81,83.18,7
青森競輪,3R,09:20,2日目,Ａ,"=""5-3""","=""5-3-2""",1,"=""5-3-4""",2,0.87,0.41,0.38,0.3,0.66,74.45,7
岐阜競輪,4R,09:30,初日,Ａ,"=""7-4""","=""7-4-1""",2,"=""7-4-1""",2,0.8,0.64,0.43,0.37,0.53,67.18,7
青森競輪,4R,09:40,2日目,Ａ,"=""2-4""","=""2-4-3""",7,"=""2-4-6""",7,0.7,0.52,0.34,0.25,0.64,64.75,7
岐阜競輪,5R,09:50,初日,Ａ,"=""4-5""","=""4-5-2""",7,"=""4-2-7""",5,0.93,0.44,0.36,0.36,0.61,77.81,7
青森競輪,5R,10:00,2日目,Ａ,"=""6-2""","=""6-2-5""",7,"=""2-4-5""",1,0.76,0.69,0.4,0.38,0.5,62.03,7
岐阜競輪,6R,10:10,初日,Ａ,"=""1-4""","=""1-4-2""",3,"=""1-4-6""",2,0.95,0.32,0.3,0.28,0.71,81.41,7
青森競輪,6R,10:20,2日目,Ａ,"=""1-5""","=""1-5-2""",4,"=""1-3-4""",5,0.88,0.39,0.35,0.33,0.62,73.08,7
岐阜競輪,7R,10:30,初日,Ａ,"=""7-5""","=""7-5-4""",2,"=""7-5-4""",1,0.8,0.55,0.36,0.29,0.64,69.43,7
青森競輪,7R,10:40,2日目,Ａ,"=""2-5""","=""2-5-3""",1,"=""2-5-4""",1,0.79,0.71,0.39,0.37,0.52,63.99,7
平塚競輪,1R,10:45,5日目,Ｓ,"=""1-7""","=""1-7-6""",2,"=""1-7-9""",5,0.78,0.59,0.32,0.27,0.65,71.14,9
岸和田競輪,1R,11:00,2日目,Ａ,"=""1-5""","=""1-5-2""",6,"=""1-6-2""",5,0.65,0.43,0.42,0.17,0.74,65.14,7
平塚競輪,2R,11:12,5日目,Ｓ,"=""7-3""","=""7-3-5""",1,"=""7-4-3""",5,0.7,0.5,0.47,0.41,0.4,57.08,9
岸和田競輪,2R,11:25,2日目,Ａ,"=""2-1""","=""2-1-7""",5,"=""2-5-1""",7,0.69,0.32,0.22,0.2,0.71,68.06,7
平塚競輪,3R,11:40,5日目,Ｓ,"=""1-5""","=""1-5-9""",4,"=""5-1-3""",9,0.78,0.68,0.35,0.14,0.82,75.85,9
岸和田競輪,3R,11:47,2日目,Ａ,"=""7-1""","=""7-1-3""",5,"=""7-3-5""",1,0.95,0.46,0.42,0.4,0.58,76.45,7
岸和田競輪,4R,12:09,2日目,Ａ,"=""7-4""","=""7-4-3""",1,"=""3-4-5""",1,0.61,0.52,0.51,0.45,0.26,44.69,7
