競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,選手数,3連単_的中,3連単_配当金(円),人気,A=B-abcd判定,A=B-CD判定,A-BCD-BCD判定,B-ACD-ACD判定,ABCD-ABCD-ABCD判定,ABCボックス判定,ABDボックス判定,C=B-AD判定,C=B-A判定,c=b-a判定
広島競輪,1R,08:30,初日,チ,"=""5-7""","=""5-7-1""",3,"=""5-2-3""",7,0.93,0.79,0.78,0.71,0.62,0.55,0.53,,,0.23,58.21,7,"=""1-7-3""",15700,49,不的中,不的中,不的中,不的中,的中,不的中,不的中,的中,的中,不的中
広島競輪,2R,08:50,初日,チ,"=""5-4""","=""5-4-2""",1,"=""4-5-1""",2,0.87,0.8,0.77,0.72,0.67,0.59,0.55,,,0.17,52.17,7,"=""5-4-3""",3470,8,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,3R,09:11,初日,チ,"=""7-5""","=""7-5-1""",2,"=""7-1-5""",6,0.9,0.84,0.81,0.77,0.69,0.6,0.56,,,0.14,52.61,7,"=""1-5-7""",2150,9,不的中,不的中,不的中,不的中,的中,的中,不的中,的中,的中,的中
広島競輪,4R,09:32,初日,チ,"=""1-5""","=""1-5-4""",2,"=""5-1-4""",3,0.89,0.82,0.81,0.7,0.59,0.58,0.58,,,0.21,54.72,7,"=""1-4-6""",4840,17,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,5R,09:53,初日,チ,"=""1-4""","=""1-4-7""",2,"=""1-5-2""",4,0.89,0.85,0.74,0.72,0.62,0.56,0.51,,,0.18,54.18,7,"=""1-5-6""",4450,10,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,6R,10:14,初日,チ,"=""4-2""","=""4-2-7""",3,"=""4-5-3""",2,0.86,0.84,0.79,0.67,0.64,0.59,0.58,,,0.22,52.6,7,"=""5-3-2""",1950,7,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,7R,10:35,初日,チ,"=""1-4""","=""1-4-3""",5,"=""1-4-5""",3,0.91,0.81,0.73,0.73,0.64,0.62,0.5,,,0.2,56.45,7,"=""1-5-4""",920,3,不的中,不的中,的中,不的中,的中,不的中,的中,不的中,不的中,不的中
大垣競輪,1R,10:45,初日,Ａ,"=""7-2""","=""7-2-4""",1,"=""2-7-4""",1,0.89,0.83,0.74,0.67,0.55,0.52,0.52,,,0.24,56.39,7,"=""2-3-1""",10890,35,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
防府競輪,1R,10:53,2日目,Ａ,"=""5-4""","=""5-4-7""",3,"=""5-3-4""",7,0.87,0.77,0.73,0.65,0.59,0.58,0.52,,,0.25,55.23,7,"=""6-5-3""",11140,37,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
取手競輪,1R,11:01,最終日,チ,"=""2-5""","=""2-5-3""",4,"=""5-2-1""",3,0.86,0.79,0.73,0.69,0.66,0.58,,,,0.2,52.13,6,"=""2-4-6""",640,1,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中,不的中
