競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,選手数,3連単_的中,3連単_配当金(円),人気,1着モデル_A-BCD流し判定,1着モデル_ボックス判定,3着以内モデル_A-BCD流し判定,3着以内モデル_ボックス判定
松戸競輪,1R,08:30,最終日,チ,"=""5-3""","=""5-3-2""","=""1-4-6""","=""4-3-5""","=""6-1-2""",0.96,0.94,0.94,0.88,0.82,0.78,,,,0.08,51.7,6,"=""4-5-6""",4110,12,不的中,不的中,的中,的中
松戸競輪,2R,08:50,最終日,チ,"=""3-2""","=""3-2-1""","=""5-4-6""","=""3-1-4""","=""2-6-5""",0.96,0.95,0.92,0.86,0.86,0.83,,,,0.1,52.44,6,"=""1-6-2""",30340,59,不的中,不的中,不的中,不的中
松戸競輪,3R,09:11,最終日,チ,"=""4-2""","=""4-2-1""","=""5-7-3-6""","=""2-4-5""","=""7-3-1-6""",0.95,0.91,0.88,0.79,0.77,0.71,0.64,,,0.17,55.25,7,"=""7-6-3""",12170,35,不的中,不的中,不的中,不的中
松戸競輪,4R,09:32,最終日,チ,"=""1-5""","=""1-5-4""","=""7-3-2-6""","=""5-4-1""","=""7-3-2-6""",0.93,0.91,0.88,0.83,0.81,0.73,0.62,,,0.11,52.46,7,"=""1-2-5""",12560,41,不的中,不的中,不的中,不的中
松戸競輪,5R,09:53,最終日,チ,"=""1-4""","=""1-4-3""","=""2-5-7-6""","=""4-2-1""","=""7-5-3-6""",0.95,0.93,0.92,0.82,0.77,0.63,0.56,,,0.14,54.86,7,"=""4-5-2""",6880,24,不的中,不的中,不的中,不的中
松戸競輪,6R,10:14,最終日,チ,"=""1-3""","=""1-3-2""","=""4-7-5-6""","=""1-3-2""","=""7-4-6-5""",0.96,0.95,0.93,0.87,0.84,0.82,0.82,,,0.08,51.77,7,"=""3-6-1""",4430,11,不的中,不的中,不的中,不的中
松戸競輪,7R,10:35,最終日,チ,"=""7-2""","=""7-2-1""","=""4-3-5-6""","=""1-7-2""","=""4-3-5-6""",0.92,0.92,0.91,0.76,0.75,0.7,0.69,,,0.17,53.27,7,"=""1-6-7""",1770,6,不的中,不的中,不的中,不的中
富山競輪,1R,10:45,初日,Ａ,"=""1-5""","=""1-5-4""","=""3-7-2-6""","=""3-1-5""","=""4-7-2-6""",0.95,0.93,0.91,0.9,0.84,0.81,0.78,,,0.06,50.92,7,"=""1-7-4""",2650,7,不的中,不的中,不的中,不的中
岸和田競輪,1R,10:58,2日目,Ａ,"=""1-4""","=""1-4-7""","=""5-3-2-6""","=""4-1-2""","=""6-7-3-5""",0.94,0.9,0.88,0.82,0.82,0.78,0.76,,,0.13,52.71,7,"=""4-7-1""",4030,17,不的中,的中,不的中,不的中
富山競輪,2R,11:12,初日,Ａ,"=""1-7""","=""1-7-5""","=""4-2-3-6""","=""7-2-4""","=""6-5-1-3""",0.95,0.95,0.87,0.85,0.84,0.82,0.66,,,0.1,52.74,7,"=""7-2-4""",320,1,不的中,不的中,的中,的中
岸和田競輪,2R,11:26,2日目,Ａ,"=""2-7""","=""2-7-4""","=""1-5-3-6""","=""7-2-5""","=""4-1-3-6""",0.94,0.93,0.9,0.88,0.85,0.72,0.61,,,0.07,51.59,7,"=""5-1-7""",7580,34,不的中,不的中,不的中,不的中
富山競輪,3R,11:40,初日,Ａ,"=""5-2""","=""5-2-1""","=""7-4-3-6""","=""7-1-5""","=""2-4-3-6""",0.92,0.92,0.9,0.88,0.86,0.75,0.69,,,0.04,49.09,7,"=""7-3-1""",13750,37,不的中,不的中,不的中,不的中
岸和田競輪,3R,11:54,2日目,Ａ,"=""5-4""","=""5-4-1""","=""3-2-7-6""","=""5-4-3""","=""2-7-6-1""",0.94,0.92,0.9,0.87,0.81,0.78,0.74,,,0.08,51.51,7,"=""5-2-4""",5930,19,不的中,不的中,的中,的中
富山競輪,4R,12:08,初日,Ａ,"=""1-7""","=""1-7-5""","=""3-4-6-2""","=""7-1-3""","=""5-2-4-6""",0.93,0.92,0.88,0.84,0.82,0.82,0.63,,,0.09,51.52,7,"=""1-5-7""",1220,3,的中,的中,不的中,的中
岸和田競輪,4R,12:22,2日目,Ａ,"=""7-2""","=""7-2-4""","=""1-3-6-5""","=""7-4-3""","=""2-1-5-6""",0.95,0.91,0.85,0.85,0.83,0.76,0.7,,,0.11,53.06,7,"=""7-4-2""",970,3,的中,的中,的中,的中
富山競輪,5R,12:36,初日,Ａ,"=""2-3""","=""2-3-1""","=""7-4-6-5""","=""3-6-1""","=""7-2-4-5""",0.92,0.83,0.82,0.79,0.78,0.75,0.55,,,0.14,53.71,7,"=""7-2-1""",3150,7,不的中,的中,不的中,不的中
