競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,選手数
青森競輪,1R,08:30,最終日,チ,"=""2-3""","=""2-3-7""","=""5-1-4-6""","=""5-2-3""","=""1-6-7-4""",0.97,0.9,0.9,0.79,0.69,0.67,0.55,,,0.19,58.05,7
防府競輪,1R,08:40,2日目,チ,"=""4-1""","=""4-1-3""","=""5-2-6""","=""4-3-1""","=""5-2-6""",0.97,0.96,0.93,0.93,0.85,0.8,,,,0.05,51.56,6
青森競輪,2R,08:50,最終日,チ,"=""2-3""","=""2-3-1""","=""4-7-5-6""","=""3-7-2""","=""4-1-5-6""",0.96,0.95,0.92,0.86,0.86,0.82,0.68,,,0.1,52.89,7
防府競輪,2R,09:00,2日目,チ,"=""7-2""","=""7-2-1""","=""4-5-3-6""","=""7-2-1""","=""5-3-6-4""",0.95,0.95,0.91,0.9,0.85,0.82,0.78,,,0.06,51.01,7
青森競輪,3R,09:10,最終日,チ,"=""5-3""","=""5-3-2""","=""1-4-7-6""","=""1-5-3""","=""6-2-4-7""",0.94,0.94,0.87,0.83,0.78,0.74,0.66,,,0.12,53.2,7
防府競輪,3R,09:20,2日目,チ,"=""5-4""","=""5-4-2""","=""1-3-7-6""","=""1-3-4""","=""7-5-2-6""",0.95,0.92,0.82,0.8,0.78,0.76,0.51,,,0.16,55.97,7
青森競輪,4R,09:30,最終日,チ,"=""7-3""","=""7-3-2""","=""4-5-1-6""","=""7-3-5""","=""4-2-1-6""",0.94,0.91,0.81,0.79,0.79,0.7,0.6,,,0.16,55.2,7
防府競輪,4R,09:40,2日目,チ,"=""2-1""","=""2-1-7""","=""5-4-3-6""","=""7-2-5""","=""1-3-6-4""",0.95,0.94,0.86,0.85,0.61,0.57,0.56,,,0.1,54.74,7
青森競輪,5R,09:50,最終日,ガ,"=""3-1""","=""3-1-6""","=""4-5-2-7""","=""6-1-3""","=""4-5-2-7""",0.98,0.96,0.95,0.89,0.78,0.68,0.55,,,0.09,54.69,7
防府競輪,5R,10:00,2日目,チ,"=""5-4""","=""5-4-2""","=""3-1-7-6""","=""2-5-4""","=""1-3-7-6""",0.95,0.93,0.9,0.83,0.82,0.81,0.52,,,0.13,53.85,7
青森競輪,6R,10:10,最終日,チ,"=""7-2""","=""7-2-4""","=""3-1-6-5""","=""7-2-3""","=""1-4-6-5""",0.95,0.9,0.86,0.8,0.79,0.77,0.69,,,0.16,55.22,7
防府競輪,6R,10:20,2日目,チ,"=""4-5""","=""4-5-7""","=""1-3-2-6""","=""5-4-7""","=""1-6-2-3""",0.94,0.94,0.85,0.85,0.83,0.71,0.69,,,0.1,52.18,7
青森競輪,7R,10:30,最終日,ガ,"=""2-1""","=""2-1-5""","=""4-3-6-7""","=""5-1-2""","=""4-3-6-7""",0.98,0.96,0.94,0.88,0.82,0.68,0.58,,,0.1,55.16,7
防府競輪,7R,10:40,2日目,チ,"=""1-7""","=""1-7-5""","=""2-3-4-6""","=""1-7-5""","=""2-4-6-3""",0.95,0.93,0.92,0.84,0.84,0.8,0.79,,,0.12,52.82,7
佐世保競輪,1R,10:45,2日目,Ａ,"=""3-4""","=""3-4-7""","=""5-1-2-6""","=""3-4-5""","=""7-1-6-2""",0.92,0.88,0.88,0.87,0.84,0.79,0.54,,,0.06,50.59,7
小田原競輪,1R,10:53,初日,Ｓ,"=""1-5""","=""1-5-3""","=""7-9-2-6-8-4""","=""7-3-5""","=""1-2-9-6-4-8""",0.84,0.83,0.82,0.78,0.78,0.77,0.59,0.57,0.54,0.07,47.0,9
岐阜競輪,1R,11:01,最終日,チ,"=""4-5""","=""4-5-7""","=""1-2-3-6""","=""4-1-7""","=""5-6-3-2""",0.95,0.92,0.89,0.79,0.74,0.66,0.58,,,0.17,56.01,7
佐世保競輪,2R,11:09,2日目,Ａ,"=""7-2""","=""7-2-1""","=""4-3-5-6""","=""7-2-1""","=""5-4-3-6""",0.95,0.93,0.91,0.88,0.86,0.81,0.54,,,0.07,51.89,7
小田原競輪,2R,11:17,初日,Ｓ,"=""7-2""","=""7-2-5""","=""1-9-3-8-6-4""","=""5-7-1""","=""2-3-9-6-4-8""",0.86,0.86,0.81,0.8,0.74,0.72,0.58,0.54,0.5,0.07,49.07,9
岐阜競輪,2R,11:25,最終日,チ,"=""3-5""","=""3-5-1""","=""2-7-4-6""","=""3-2-4""","=""5-1-7-6""",0.93,0.88,0.86,0.81,0.8,0.7,0.62,,,0.14,53.84,7
佐世保競輪,3R,11:34,2日目,Ａ,"=""3-5""","=""3-5-1""","=""7-4-2-6""","=""3-5-1""","=""7-4-2-6""",0.94,0.93,0.89,0.88,0.83,0.82,0.8,,,0.06,50.37,7
小田原競輪,3R,11:43,初日,Ｓ,"=""1-9""","=""1-9-5""","=""2-3-7-8-4-6""","=""9-1-2""","=""5-7-3-6-4-8""",0.86,0.84,0.82,0.79,0.74,0.69,0.58,0.54,0.51,0.08,49.4,9
岐阜競輪,3R,11:52,最終日,チ,"=""7-5""","=""7-5-3""","=""1-4-2-6""","=""3-7-5""","=""4-1-2-6""",0.93,0.93,0.87,0.77,0.7,0.68,0.51,,,0.18,55.51,7
佐世保競輪,4R,12:01,2日目,Ａ,"=""2-5""","=""2-5-7""","=""1-4-3-6""","=""2-5-1""","=""7-3-4-6""",0.91,0.9,0.88,0.88,0.78,0.77,0.67,,,0.04,48.87,7
小田原競輪,4R,12:10,初日,Ｓ,"=""1-5""","=""1-5-3""","=""9-7-4-6-2-8""","=""3-5-9""","=""7-1-2-6-4-8""",0.85,0.82,0.82,0.77,0.75,0.75,0.58,0.5,0.5,0.09,48.76,9
岐阜競輪,4R,12:19,最終日,Ａ,"=""1-4""","=""1-4-7""","=""3-2-5-6""","=""1-3-7""","=""4-2-6-5""",0.93,0.92,0.88,0.87,0.87,0.86,0.69,,,0.07,49.84,7
佐世保競輪,5R,12:28,2日目,Ａ,"=""1-7""","=""1-7-5""","=""3-2-6-4""","=""7-6-1""","=""3-5-2-4""",0.92,0.91,0.86,0.85,0.85,0.82,0.77,,,0.08,49.79,7
小田原競輪,5R,12:37,初日,Ｓ,"=""2-5""","=""2-5-7""","=""1-3-9-8-4-6""","=""7-5-2""","=""1-9-3-6-8-4""",0.86,0.82,0.79,0.78,0.77,0.72,0.58,0.51,0.5,0.1,50.14,9
岐阜競輪,5R,12:46,最終日,Ａ,"=""1-5""","=""1-5-3""","=""4-7-2-6""","=""6-5-1""","=""3-4-7-2""",0.94,0.93,0.89,0.89,0.84,0.74,0.59,,,0.06,51.2,7
佐世保競輪,6R,12:55,2日目,Ｓ,"=""4-2""","=""4-2-3""","=""1-5-6""","=""5-2-3""","=""4-6-1""",0.88,0.85,0.82,0.79,0.78,0.72,,,,0.1,48.34,6
小田原競輪,6R,13:04,初日,Ｓ,"=""1-9""","=""1-9-3""","=""2-5-7-8-4-6""","=""2-3-9""","=""7-1-5-6-4-8""",0.87,0.86,0.86,0.75,0.75,0.72,0.58,0.54,0.54,0.14,51.39,9
