競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア,運用判定,選手数,3連単_的中,3連単_配当金(円),人気,1着モデル_A-BCD流し判定,1着モデル_ボックス判定,3着以内モデル_A-BCD流し判定,3着以内モデル_ボックス判定,運用判定_3着以内モデル判定,運用判定_1着モデル判定
別府競輪,1R,08:30,初日,チ,"=""7-5""","=""7-5-3""","=""4-1-2-6""","=""7-5-4""","=""1-3-2-6""",0.89,0.88,0.87,0.84,0.79,0.76,0.71,,,0.05,47.7,A-B-D-E,7,"=""7-2-4""",2440,7,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,1R,08:40,2日目,Ａ,"=""1-5""","=""1-5-4""","=""3-2-6""","=""2-1-3""","=""5-4-6""",0.95,0.92,0.9,0.89,0.88,0.78,,,,0.06,50.38,見送り,6,"=""2-1-5""",1690,3,不的中,不的中,的中,的中,見送り,見送り
別府競輪,2R,08:50,初日,チ,"=""3-7""","=""3-7-4""","=""2-1-5-6""","=""7-3-4""","=""2-1-5-6""",0.95,0.93,0.9,0.88,0.77,0.64,0.51,,,0.07,53.44,A-B-D-E,7,"=""7-4-1""",21710,63,不的中,不的中,不的中,不的中,不的中,不的中
広島競輪,2R,09:00,2日目,Ａ,"=""1-7""","=""1-7-2""","=""3-5-4-6""","=""1-2-7""","=""6-3-5-4""",0.93,0.91,0.91,0.85,0.81,0.79,0.72,,,0.09,51.35,A-B-D-E,7,"=""1-7-2""",650,2,的中,的中,的中,的中,不的中,不的中
別府競輪,3R,09:10,初日,チ,"=""3-7""","=""3-7-5""","=""2-1-4-6""","=""7-3-2""","=""4-1-5-6""",0.96,0.94,0.91,0.9,0.88,0.78,0.58,,,0.06,52.08,A-B-D-E,7,"=""3-7-5""",540,2,的中,的中,不的中,不的中,不的中,不的中
広島競輪,3R,09:20,2日目,Ａ,"=""4-7""","=""4-7-1""","=""3-5-2-6""","=""1-4-7""","=""5-3-6-2""",0.92,0.91,0.89,0.85,0.83,0.75,0.66,,,0.08,50.89,A-B-D-E,7,"=""5-4-3""",2670,4,不的中,不的中,不的中,不的中,的中,的中
別府競輪,4R,09:30,初日,チ,"=""2-4""","=""2-4-5""","=""1-7-3-6""","=""4-5-2""","=""3-1-7-6""",0.95,0.95,0.94,0.8,0.77,0.68,0.62,,,0.16,55.11,見送り,7,"=""1-4-6""",74710,114,不的中,不的中,不的中,不的中,見送り,見送り
広島競輪,4R,09:40,2日目,Ａ,"=""4-1""","=""4-1-2""","=""7-5-3-6""","=""4-1-2""","=""7-6-3-5""",0.94,0.91,0.88,0.86,0.82,0.72,0.61,,,0.09,52.34,見送り,7,"=""7-4-1""",7060,26,不的中,的中,不的中,的中,見送り,見送り
別府競輪,5R,09:50,初日,チ,"=""2-5""","=""2-5-1""","=""7-4-3-6""","=""5-2-1""","=""4-6-7-3""",0.96,0.94,0.92,0.85,0.67,0.67,0.65,,,0.12,54.7,見送り,7,"=""2-5-6""",420,1,不的中,不的中,不的中,不的中,見送り,見送り
広島競輪,5R,10:00,2日目,Ａ,"=""2-7""","=""2-7-4""","=""5-1-3-6""","=""1-4-7""","=""5-3-2-6""",0.94,0.9,0.89,0.86,0.83,0.81,0.8,,,0.08,51.0,見送り,7,"=""7-2-1""",1160,1,不的中,不的中,不的中,不的中,見送り,見送り
別府競輪,6R,10:10,初日,チ,"=""3-4""","=""3-4-2""","=""5-1-7-6""","=""3-4-2""","=""1-6-7-5""",0.95,0.95,0.94,0.83,0.8,0.79,0.76,,,0.13,53.33,見送り,7,"=""3-4-5""",540,1,的中,的中,不的中,不的中,見送り,見送り
広島競輪,6R,10:20,2日目,Ａ,"=""1-2""","=""1-2-5""","=""3-4-7-6""","=""4-2-5""","=""3-1-7-6""",0.9,0.89,0.88,0.88,0.85,0.81,0.78,,,0.02,46.72,見送り,7,"=""4-1-5""",670,2,不的中,不的中,不的中,不的中,見送り,見送り
別府競輪,7R,10:30,初日,チ,"=""3-1""","=""3-1-5""","=""4-7-2-6""","=""3-1-4""","=""7-5-2-6""",0.96,0.95,0.9,0.79,0.78,0.78,0.69,,,0.17,55.52,見送り,7,"=""1-5-4""",13380,30,不的中,的中,不的中,不的中,見送り,見送り
広島競輪,7R,10:40,2日目,Ａ,"=""5-1""","=""5-1-4""","=""2-3-6-7""","=""6-5-1""","=""3-2-4-7""",0.95,0.94,0.93,0.88,0.87,0.86,0.7,,,0.07,51.34,A-B-D-E,7,"=""3-5-1""",10370,35,不的中,不的中,不的中,的中,不的中,的中
小松島競輪,1R,10:45,初日,Ａ,"=""5-7""","=""5-7-3""","=""1-4-2-6""","=""5-3-1""","=""7-4-2-6""",0.93,0.91,0.9,0.89,0.87,0.84,0.65,,,0.05,49.96,見送り,7,"=""1-5-4""",3560,8,不的中,不的中,不的中,不的中,見送り,見送り
小松島競輪,2R,11:11,初日,Ａ,"=""2-7""","=""2-7-5""","=""3-4-1-6""","=""2-3-7""","=""5-1-4-6""",0.94,0.93,0.9,0.87,0.82,0.78,0.6,,,0.08,52.19,見送り,7,"=""2-5-3""",1100,1,的中,的中,的中,的中,見送り,見送り
小田原競輪,1R,11:24,最終日,Ｓ,"=""5-1""","=""5-1-4""","=""3-2""","=""5-3-4""","=""2-1""",0.82,0.81,0.8,0.77,0.72,,,,,0.07,44.18,A-B-D-E,5,"=""1-5-4""",220,1,不的中,的中,不的中,不的中,不的中,不的中
小松島競輪,3R,11:38,初日,Ａ,"=""3-2""","=""3-2-4""","=""1-5-7-6""","=""3-2-4""","=""5-1-7-6""",0.95,0.95,0.91,0.84,0.81,0.7,0.62,,,0.12,53.66,A-B-C-E,7,"=""5-2-3""",11270,32,不的中,不的中,不的中,的中,不的中,的中
小田原競輪,2R,11:52,最終日,Ｓ,"=""3-5""","=""3-5-2""","=""4-1""","=""5-1-4""","=""3-2""",0.83,0.82,0.8,0.79,0.77,,,,,0.04,43.21,A-B-D-E,5,"=""1-3-4""",2460,10,不的中,不的中,不的中,的中,不的中,的中
小松島競輪,4R,12:06,初日,Ａ,"=""2-5""","=""2-5-3""","=""1-7-6-4""","=""5-2-3""","=""1-7-6-4""",0.95,0.94,0.92,0.83,0.77,0.75,0.69,,,0.13,53.88,A-B-C-E,7,"=""5-3-2""",1580,4,不的中,的中,的中,的中,的中,的中
小田原競輪,3R,12:20,最終日,Ｓ,"=""3-2""","=""3-2-1""","=""5-7-4-8-6""","=""5-2-3""","=""4-1-7-8-6""",0.86,0.84,0.81,0.78,0.75,0.71,0.56,0.51,,0.1,49.46,A-B-C-E,8,"=""1-8-5""",47270,119,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,5R,12:34,初日,Ａ,"=""1-4""","=""1-4-3""","=""5-2-7-6""","=""4-1-3""","=""5-7-2-6""",0.96,0.9,0.89,0.87,0.85,0.82,0.73,,,0.09,52.99,見送り,7,"=""4-3-2""",6700,23,不的中,不的中,不的中,不的中,見送り,見送り
小田原競輪,4R,12:48,最終日,Ｓ,"=""1-9""","=""1-9-2""","=""3-7-5-4-6-8""","=""2-3-9""","=""7-1-5-6-4-8""",0.86,0.84,0.82,0.79,0.78,0.74,0.58,0.51,0.5,0.08,49.41,A-B-D-E,9,"=""4-6-2""",93130,243,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,6R,13:02,初日,Ｓ,"=""7-1""","=""7-1-3""","=""5-4-2-6""","=""7-5-3""","=""1-4-2-6""",0.88,0.86,0.84,0.8,0.69,0.65,0.56,,,0.09,49.52,A-B-D-E,7,"=""3-5-1""",2950,5,不的中,的中,不的中,的中,不的中,不的中
小田原競輪,5R,13:16,最終日,Ｓ,"=""3-5""","=""3-5-7""","=""2-9-1-4-8-6""","=""5-2-7""","=""3-9-1-6-4-8""",0.86,0.84,0.83,0.81,0.73,0.66,0.58,0.53,0.52,0.07,49.19,A-B-D-E,9,"=""4-7-3""",30530,79,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,7R,13:30,初日,Ｓ,"=""5-2""","=""5-2-1""","=""4-7-3-6""","=""2-4-1""","=""5-3-7-6""",0.86,0.84,0.83,0.81,0.77,0.75,0.55,,,0.06,47.14,A-B-D-E,7,"=""5-2-7""",1140,3,不的中,不的中,不的中,不的中,不的中,的中
小田原競輪,6R,13:44,最終日,Ｓ,"=""7-2""","=""7-2-1""","=""5-3-9-6-8-4""","=""3-1-7""","=""2-9-5-6-4-8""",0.87,0.84,0.81,0.78,0.75,0.72,0.58,0.54,0.51,0.1,50.57,A-B-C-E,9,"=""6-2-5""",5210,10,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,8R,13:58,初日,Ｓ,"=""5-3""","=""5-3-1""","=""7-2-4-6""","=""5-7-3""","=""4-1-2-6""",0.88,0.84,0.79,0.74,0.72,0.68,0.6,,,0.16,51.36,見送り,7,"=""1-3-7""",5390,18,不的中,的中,不的中,不的中,見送り,見送り
小田原競輪,7R,14:12,最終日,Ｓ,"=""5-9""","=""5-9-2""","=""3-1-7-8-4-6""","=""5-3-9""","=""2-7-1-6-4-8""",0.88,0.87,0.82,0.79,0.72,0.67,0.58,0.55,0.5,0.1,51.27,A-B-C-E,9,"=""2-9-7""",7640,26,不的中,不的中,不的中,不的中,不的中,不的中
小松島競輪,9R,14:27,初日,Ｓ,"=""4-7""","=""4-7-3""","=""5-1-2-6""","=""7-5-2""","=""4-3-1-6""",0.84,0.84,0.78,0.77,0.76,0.74,0.53,,,0.09,47.17,A-B-D-E,7,"=""4-7-1""",460,2,不的中,不的中,不的中,不的中,不的中,的中
