race_id,競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,運用判定,選手数,3連単_的中,3連単_配当金(円),人気,1着モデル_A-BCD流し判定,1着モデル_A-BCD流し_合成オッズ,1着モデル_ボックス判定,1着モデル_ボックス_合成オッズ,3着以内モデル_A-BCD流し判定,3着以内モデル_A-BCD流し_合成オッズ,3着以内モデル_ボックス判定,3着以内モデル_ボックス_合成オッズ,運用判定_3着以内モデル判定,運用判定_3着以内モデル_合成オッズ,運用判定_1着モデル判定,運用判定_1着モデル_合成オッズ,A率,B率,C率,D率,E率,F率,G率,H率,I率,CT値,スコア
4320260807010001,岐阜競輪,1R,08:30,初日,Ａ,"=""3-7""","=""3-7-2""","=""4-1-5-6""","=""3-2-5""","=""1-7-4-6""",見送り,7,"=""1-5-3""",2960,10,不的中,4.93,不的中,1.23,不的中,4.93,的中,1.23,見送り,1.23,見送り,1.23,0.95,0.89,0.88,0.87,0.86,0.82,0.74,,,0.08,51.63
4320260807010002,岐阜競輪,2R,08:50,初日,Ａ,"=""7-4""","=""7-4-1""","=""2-5-6-3""","=""2-7-1""","=""4-5-6-3""",A-B-D-E,7,"=""2-7-5""",200,1,不的中,0.33,不的中,0.08,不的中,0.33,不的中,0.08,的中,0.08,的中,0.08,0.94,0.94,0.91,0.87,0.83,0.81,0.65,,,0.07,51.41
4320260807010003,岐阜競輪,3R,09:11,初日,Ａ,"=""1-3""","=""1-3-4""","=""7-2-5-6""","=""3-4-1""","=""2-7-5-6""",A-B-D-E,7,"=""1-4-3""",6790,21,的中,11.32,的中,2.83,不的中,11.32,的中,2.83,不的中,2.83,不的中,2.83,0.95,0.91,0.9,0.86,0.8,0.77,0.75,,,0.09,52.61
4320260807010004,岐阜競輪,4R,09:32,初日,Ａ,"=""1-5""","=""1-5-2""","=""4-3-7-6""","=""5-4-2""","=""3-1-7-6""",A-B-D-E,7,"=""4-2-3""",6410,18,不的中,10.68,不的中,2.67,不的中,10.68,的中,2.67,不的中,2.67,不的中,2.67,0.95,0.93,0.92,0.88,0.88,0.8,0.74,,,0.07,51.11
4320260807010005,岐阜競輪,5R,09:53,初日,Ａ,"=""4-2""","=""4-2-1""","=""5-7-3-6""","=""2-4-5""","=""6-1-7-3""",A-B-D-E,7,"=""2-1-4""",1590,3,不的中,2.65,的中,0.66,不的中,2.65,不的中,0.66,的中,0.66,不的中,0.66,0.94,0.93,0.87,0.85,0.84,0.78,0.75,,,0.1,52.07
4320260807010006,岐阜競輪,6R,10:14,初日,Ａ,"=""1-5""","=""1-5-7""","=""3-2-6-4""","=""5-1-3""","=""6-7-2-4""",見送り,7,"=""5-7-3""",23030,53,不的中,38.38,的中,9.6,不的中,38.38,不的中,9.6,見送り,9.6,見送り,9.6,0.91,0.89,0.88,0.86,0.84,0.72,0.54,,,0.06,50.0
4320260807010007,岐阜競輪,7R,10:35,初日,Ａ,"=""1-4""","=""1-4-3""","=""5-2-7-6""","=""1-3-5""","=""2-6-4-7""",見送り,7,"=""6-2-3""",2260,3,不的中,3.77,不的中,0.94,不的中,3.77,不的中,0.94,見送り,0.94,見送り,0.94,0.9,0.89,0.84,0.82,0.81,0.76,0.76,,,0.09,49.32
5520260806020001,和歌山競輪,1R,10:45,2日目,Ｓ,"=""2-3""","=""2-3-9""","=""7-1-5-8-4-6""","=""9-2-3""","=""7-5-1-4-6-8""",A-B-D-E,9,"=""2-5-9""",10460,33,不的中,17.43,不的中,4.36,不的中,17.43,不的中,4.36,的中,4.36,不的中,4.36,0.86,0.83,0.82,0.81,0.77,0.73,0.57,0.57,0.52,0.06,48.39
4520260805030001,豊橋競輪,1R,11:01,最終日,チ,"=""4-1""","=""4-1-2""","=""3-5-6""","=""2-4-1""","=""3-6-5""",見送り,6,"=""1-6-5""",2460,7,不的中,4.1,不的中,1.03,不的中,4.1,不的中,1.03,見送り,1.03,見送り,1.03,0.96,0.94,0.91,0.84,0.75,0.74,,,,0.12,53.5
5520260806020002,和歌山競輪,2R,11:08,2日目,Ｓ,"=""5-2""","=""5-2-1""","=""3-9-4-8-7-6""","=""5-2-3""","=""1-9-7-4-6-8""",A-B-C-E,9,"=""2-4-6""",3630,6,不的中,6.05,不的中,1.51,不的中,6.05,不的中,1.51,不的中,1.51,不的中,1.51,0.88,0.83,0.8,0.79,0.79,0.74,0.55,0.53,0.51,0.1,50.98
