bucket,count,hit_exact,stake,payout,profit,avg_best_p,avg_best_odds,avg_mult_ev,bucket_type,hit_exact_rate
"(-0.001, 10.0]",0,0,0,0.0,0.0,,,,best_odds,
"(10.0, 50.0]",0,0,0,0.0,0.0,,,,best_odds,
"(50.0, 100.0]",0,0,0,0.0,0.0,,,,best_odds,
"(100.0, 300.0]",0,0,0,0.0,0.0,,,,best_odds,
"(300.0, 500.0]",0,0,0,0.0,0.0,,,,best_odds,
"(500.0, 1000.0]",2,0,400,0.0,-400.0,0.011063256180999952,642.5,7.18994956785606,best_odds,0.0
"(1000.0, 3000.0]",5,0,800,0.0,-800.0,0.0076520338305745405,2091.94,14.77711524580476,best_odds,0.0
"(3000.0, 10000.0]",2,0,200,0.0,-200.0,0.00284442180821095,6219.85,16.421033784315455,best_odds,0.0
"(10000.0, inf]",0,0,0,0.0,0.0,,,,best_odds,
"(-0.001, 0.001]",0,0,0,0.0,0.0,,,,best_p,
"(0.001, 0.002]",0,0,0,0.0,0.0,,,,best_p,
"(0.002, 0.003]",1,0,100,0.0,-100.0,0.0021960820385579,8180.0,17.963951075403624,best_p,0.0
"(0.003, 0.005]",2,0,200,0.0,-200.0,0.00408588587617155,3512.95,13.910597218935685,best_p,0.0
"(0.005, 0.008]",3,0,500,0.0,-500.0,0.006822280483832933,2140.266666666667,14.750635455966899,best_p,0.0
"(0.008, 0.012]",2,0,400,0.0,-400.0,0.011063256180999952,642.5,7.18994956785606,best_p,0.0
"(0.012, 0.02]",1,0,200,0.0,-200.0,0.0131143175268948,1272.7,16.690591916479015,best_p,0.0
"(0.02, 0.04]",0,0,0,0.0,0.0,,,,best_p,
"(0.04, 1.0]",0,0,0,0.0,0.0,,,,best_p,
"(-0.001, 0.5]",0,0,0,0.0,0.0,,,,mult_ev,
"(0.5, 0.8]",0,0,0,0.0,0.0,,,,mult_ev,
"(0.8, 1.0]",0,0,0,0.0,0.0,,,,mult_ev,
"(1.0, 1.2]",0,0,0,0.0,0.0,,,,mult_ev,
"(1.2, 1.5]",0,0,0,0.0,0.0,,,,mult_ev,
"(1.5, 2.0]",0,0,0,0.0,0.0,,,,mult_ev,
"(2.0, 5.0]",0,0,0,0.0,0.0,,,,mult_ev,
"(5.0, 10.0]",3,0,500,0.0,-500.0,0.0095914258020099,907.4666666666667,7.978465536666852,mult_ev,0.0
"(10.0, 30.0]",6,0,900,0.0,-900.0,0.006216874620877467,3577.0,16.195357720561045,mult_ev,0.0
"(30.0, 100.0]",0,0,0,0.0,0.0,,,,mult_ev,
"(100.0, inf]",0,0,0,0.0,0.0,,,,mult_ev,
