race_id,競輪場,レース番号,開始時間,買い目,first,second,third,odds,p,EV
4720260226030003,松阪競輪,3R,21:37,2-7-3,2,7,3,9999.9,0.010481501654645448,103.81396839628901
4720260226030003,松阪競輪,3R,21:37,2-7-6,2,7,6,9999.9,0.010267790426485747,101.67687748581481
2620260226030006,西武園競輪,6R,22:45,2-7-6,2,7,6,9999.9,0.006784471132608601,66.84403287897274
4720260226030004,松阪競輪,4R,22:01,2-7-5,2,7,5,9999.9,0.006738393734461134,66.38326350523789
2620260226030003,西武園競輪,3R,21:29,4-7-1,4,7,1,9999.9,0.006709336410167078,66.09269316802975
2620260226030006,西武園競輪,6R,22:45,2-7-5,2,7,5,9999.9,0.0065330417649967385,64.32976434579088
5520260228010007,和歌山競輪,7R,13:41,1-3-6,1,3,6,9999.9,0.006286270412539819,61.86207549835694
8120260226030004,小倉競輪,4R,22:09,2-7-5,2,7,5,9999.9,0.0062350858274500395,61.35023476591765
4720260226030004,松阪競輪,4R,22:01,2-7-6,2,7,6,9999.9,0.006112016006741895,60.119548865818274
8120260226030003,小倉競輪,3R,21:45,2-6-5,2,6,5,9999.9,0.005733963539007167,56.33906199371776
5520260228010007,和歌山競輪,7R,13:41,1-4-6,1,4,6,9753.3,0.005873727574746319,56.28822715477327
8120260226030004,小倉競輪,4R,22:09,6-2-7,6,2,7,9999.9,0.005571791892507998,54.71736174589072
4720260226030002,松阪競輪,2R,21:13,5-4-7,5,4,7,9999.9,0.005492636855418767,53.92581929050212
5520260228010007,和歌山競輪,7R,13:41,1-6-4,1,6,4,9103.1,0.005801574409706367,51.812312008998035
5520260228010007,和歌山競輪,7R,13:41,1-4-3,1,4,3,7802.6,0.0066764502680579235,51.09367086154876
2620260226030003,西武園競輪,3R,21:29,4-6-7,4,6,7,9999.9,0.005127812196887911,50.27760918765942
2620260226030004,西武園競輪,4R,21:53,6-1-5,6,1,5,9999.9,0.005117188989973622,50.17137818083722
5520260228010007,和歌山競輪,7R,13:41,1-6-3,1,6,3,8275.5,0.0061427503642135905,49.83433063904957
8120260226030004,小倉競輪,4R,22:09,5-6-7,5,6,7,9999.9,0.005042682863435038,49.42632436606403
5520260228010007,和歌山競輪,7R,13:41,1-6-7,1,6,7,7186.6,0.006799771343891076,47.867236740007606
4720260226030006,松阪競輪,6R,22:54,5-6-2,5,6,2,9999.9,0.004817009689594273,47.169615194973765
4720260226030005,松阪競輪,5R,22:27,4-7-5,4,7,5,9999.9,0.004733550319394846,46.33502983891652
8120260226030005,小倉競輪,5R,22:36,4-5-7,4,5,7,9999.9,0.004609478701606907,45.09432606819891
5520260228010007,和歌山競輪,7R,13:41,1-3-4,1,3,4,6827.3,0.006748509719277037,45.074100406420115
5520260228010007,和歌山競輪,7R,13:41,1-4-2,1,4,2,6660.8,0.0068605688708110665,44.696877134698354
4720260226030005,松阪競輪,5R,22:27,4-5-7,4,5,7,9999.9,0.004536053088041918,44.36007727511038
8120260226030005,小倉競輪,5R,22:36,2-7-6,2,7,6,9999.9,0.004520802059383259,44.20756851362665
4420260228010010,大垣競輪,10R,15:18,2-6-7,2,6,7,6487.6,0.006957049890850571,44.13455687188217
4720260226030002,松阪競輪,2R,21:13,5-4-3,5,4,3,9999.9,0.004506832815593448,44.067877472652924
8120260226030003,小倉競輪,3R,21:45,6-4-3,6,4,3,9999.9,0.004489780773463286,43.89735875655551
8120260226030004,小倉競輪,4R,22:09,5-6-3,5,6,3,9999.9,0.004442378977045483,43.42334553255712
5520260228010007,和歌山競輪,7R,13:41,1-6-2,1,6,2,7002.3,0.006312150954154532,43.19957462627628
4720260226030003,松阪競輪,3R,21:37,5-7-3,5,7,3,9999.9,0.004385950530834974,42.85906671329665
