race_id,nirenpuku_result,payout_nirenpuku_100
2420260101010001,1-6,1130
2420260101010002,2-7,4190
2420260101010003,3-5,160
2420260101010004,1-7,120
2420260101010005,3-7,3260
2420260101010006,2-7,1290
2420260101010007,4-7,170
2420260101010008,1-4,210
2420260101010009,2-5,1070
2420260101010010,3-7,860
2420260101010011,1-5,110
2420260101010012,4-7,4070
3820260101010001,3-7,280
3820260101010002,2-6,1820
3820260101010003,1-3,200
3820260101010004,1-2,550
3820260101010005,1-4,1280
3820260101010006,1-5,280
3820260101010007,3-5,2080
3820260101010008,2-4,290
3820260101010009,1-2,300
3820260101010010,1-5,150
4720251231020001,1-2,240
4720251231020002,2-5,380
4720251231020003,1-5,490
4720251231020004,3-5,100
4720251231020005,3-7,2980
4720251231020006,4-6,770
4720251231020007,2-7,1430
4720251231020008,1-3,540
4720251231020009,4-7,19910
5620251231020001,2-5,190
5620251231020002,5-7,1680
5620251231020003,3-5,1180
5620251231020004,1-6,200
5620251231020005,1-6,430
5620251231020006,5-6,340
5620251231020007,1-6,3200
5620251231020008,1-6,9440
5620251231020009,4-7,1590
5620251231020010,2-7,170
5620251231020011,1-7,1730
6220251231020001,2-4,590
6220251231020002,1-3,650
6220251231020003,1-2,1000
6220251231020004,2-5,990
6220251231020005,1-7,840
6220251231020006,1-5,130
6220251231020007,2-4,1370
8120251230030001,3-4,550
8120251230030002,1-7,160
8120251230030003,4-5,2920
8120251230030004,1-3,680
8120251230030005,1-3,220
8120251230030006,2-3,290
8120251230030007,3-5,520
8120251230030008,1-5,1240
8120251230030009,1-4,330
8120251230030010,5-7,2200
8620251230030001,2-3,350
8620251230030002,1-6,700
8620251230030003,1-4,1210
8620251230030004,3-6,200
8620251230030005,5-7,9210
8620251230030006,1-4,280
8620251230030007,3-6,500
1320260103010001,3-4,160
1320260103010002,1-7,250
1320260103010003,1-5,1450
2420260101030001,2-7,960
2420260101030002,1-3,350
2420260101030003,5-7,670
2420260101030004,1-5,270
2420260101030005,5-6,2090
2420260101030006,1-3,1940
2420260101030007,1-5,560
2420260101030008,2-4,2340
2420260101030009,2-6,3770
2420260101030010,1-5,170
2420260101030011,1-3,830
2420260101030012,1-3,750
3620260103010001,1-5,140
3620260103010002,1-2,600
3620260103010003,1-4,110
3620260103010004,1-5,140
3620260103010005,1-7,140
3620260103010006,3-4,1240
3620260103010007,1-5,2060
3820260101030001,1-4,440
3820260101030002,5-7,1980
4520260102020001,2-3,800
4520260102020002,1-4,780
4520260102020003,1-4,210
4520260102020004,3-4,380
4520260102020005,1-7,190
4520260102020006,3-4,170
4520260102020007,3-5,330
4520260102020008,2-6,2030
4520260102020009,2-7,280
4520260102020010,1-4,630
4520260102020011,1-5,170
4520260102020012,1-5,1720
7320260103010001,3-4,590
7320260103010002,1-2,600
7320260103010003,4-7,2030
