race_id,sanrentan_result,payout_sanrentan_100
2620260304030001,3-4-5,72720
2620260304030002,1-2-6,8410
2620260304030003,7-2-6,4610
2620260304030004,2-5-4,310
2620260304030005,3-4-1,530
2620260304030006,3-5-7,5980
2620260304030007,2-4-5,40890
2620260304030008,3-1-4,3910
2620260304030009,2-5-4,1190
2620260304030010,7-2-4,760
2620260304030011,3-5-6,3070
2620260304030012,1-3-5,1410
3720260304030001,2-5-4,12640
3720260304030002,4-1-7,820
3720260304030003,5-4-1,2370
4520260304030001,1-3-6,4450
4520260304030002,4-6-2,5600
4520260304030003,5-6-7,8110
4520260304030004,5-4-7,10580
4520260304030005,4-7-3,2610
4520260304030006,1-5-7,2240
4520260304030007,2-5-1,2240
7520260305020001,3-1-7,1050
7520260305020002,9-2-1,1510
7520260305020003,9-1-3,2620
7520260305020004,9-2-6,1650
7520260305020005,9-7-2,2020
7520260305020006,1-5-7,2560
7520260305020007,7-2-5,2710
7520260305020008,5-8-2,71450
7520260305020009,7-3-2,8220
7520260305020010,8-7-1,50600
7520260305020011,9-1-3,1170
7520260305020012,1-5-8,1640
8120260306010001,1-2-4,3770
8120260306010002,2-4-3,7320
8120260306010003,7-2-1,540
