race_id,競輪場,レース番号,開始時間,買い目,a,b,odds,p,EV
4520260310030008,豊橋競輪,8R,23:00,3-5,3,5,412.5,0.04807214692792844,18.82976060777048
4520260310030008,豊橋競輪,8R,23:00,2-6,2,6,412.5,0.046595895850644733,18.22080703839095
2620260312010003,西武園競輪,3R,16:36,4-5,4,5,343.9,0.048302483078277,15.61122393061946
2620260312010003,西武園競輪,3R,16:36,6-7,6,7,573.2,0.028803235731005183,15.510014721012173
4520260310030008,豊橋競輪,8R,23:00,3-6,3,6,412.5,0.03958484272256897,15.328747623059702
5520260312010005,和歌山競輪,5R,10:13,5-6,5,6,943.7,0.017078359889579647,15.116848227796314
2620260312010002,西武園競輪,2R,16:15,3-6,3,6,453.4,0.03455061113029679,14.665247086476564
2620260312010001,西武園競輪,1R,15:45,3-7,3,7,763.6,0.02005054441776374,14.310595717404393
5520260312010005,和歌山競輪,5R,10:13,5-7,5,7,383.4,0.03958519355378225,14.176963208520112
4520260310030008,豊橋競輪,8R,23:00,2-7,2,7,412.5,0.03674005677374354,14.15527341916921
5520260312010005,和歌山競輪,5R,10:13,3-5,3,5,454.4,0.03284930739893003,13.926725282073804
2420260309040006,宇都宮競輪,6R,13:30,1-6,1,6,357.8,0.04122884399777555,13.751680382404093
5520260312010005,和歌山競輪,5R,10:13,4-5,4,5,306.7,0.04578065558122212,13.040927066760824
5520260312010005,和歌山競輪,5R,10:13,3-6,3,6,817.9,0.016972847127035975,12.882091665202724
5520260312010006,和歌山競輪,6R,10:34,5-6,5,6,338.0,0.040817554606985926,12.796333457161243
2620260312010002,西武園競輪,2R,16:15,2-5,2,5,453.4,0.02899601030597255,12.146791072727952
5520260312010006,和歌山競輪,6R,10:34,3-6,3,6,262.9,0.04893771351442593,11.865724882942576
2620260312010002,西武園競輪,2R,16:15,2-6,2,6,327.4,0.03857635871521528,11.629899843361482
4520260310030008,豊橋競輪,8R,23:00,4-7,4,7,412.5,0.030230396015963487,11.470038356584938
7420260310030002,高知競輪,2R,21:10,1-7,1,7,200.2,0.06068547026479032,11.14923114701102
5520260312010005,和歌山競輪,5R,10:13,2-3,2,3,613.4,0.019776919117705266,11.13116218680041
2620260312010003,西武園競輪,3R,16:36,2-5,2,5,469.0,0.025046178464400506,10.746657699803837
7420260310030002,高知競輪,2R,21:10,1-6,1,6,200.2,0.058301528951026284,10.671966095995462
2320260312010011,取手競輪,11R,15:12,1-4,1,4,252.9,0.045814388317210665,10.586458805422577
2420260309040010,宇都宮競輪,10R,15:24,3-7,3,7,372.3,0.030630672594660787,10.403799406992212
2620260312010008,西武園競輪,8R,18:38,3-6,3,6,265.0,0.0421245581085983,10.16300789877855
2620260312010002,西武園競輪,2R,16:15,1-6,1,6,196.4,0.056650308363119246,10.12612056251662
2620260312010002,西武園競輪,2R,16:15,1-4,1,4,226.7,0.04830652346060384,9.95108886851889
2420260309040006,宇都宮競輪,6R,13:30,5-6,5,6,572.5,0.018804751242865743,9.765720086540638
5520260312010007,和歌山競輪,7R,10:55,2-7,2,7,444.1,0.024196084777095426,9.74548124950808
7420260310030002,高知競輪,2R,21:10,2-4,2,4,200.2,0.05236110886128249,9.482693994028754
2620260312010003,西武園競輪,3R,16:36,1-7,1,7,396.8,0.026000230782963533,9.31689157467993
5520260312010007,和歌山競輪,7R,10:55,2-6,2,6,444.1,0.022828979334139188,9.138349722291213
2620260312010003,西武園競輪,3R,16:36,4-7,4,7,177.9,0.056957383369692895,9.132718501468366
2420260309040002,宇都宮競輪,2R,11:42,2-6,2,6,146.2,0.06920762943098531,9.118155422810052
5520260312010006,和歌山競輪,6R,10:34,1-6,1,6,676.0,0.01492898847448941,9.091996208754841
4520260310030008,豊橋競輪,8R,23:00,4-5,4,5,206.2,0.048107021050667526,8.919667740647643
7420260310030002,高知競輪,2R,21:10,2-5,2,5,200.2,0.049504678735329266,8.910836682812919
2320260312010011,取手競輪,11R,15:12,4-5,4,5,437.8,0.022495264099924292,8.848426622946855
2620260312010001,西武園競輪,1R,15:45,1-7,1,7,190.9,0.05111500153139037,8.757853792342422
5520260312010005,和歌山競輪,5R,10:13,2-4,2,4,322.8,0.029483671457318436,8.51732914642239
2320260312010011,取手競輪,11R,15:12,4-9,4,9,162.6,0.05764264850815531,8.372694647426053
5520260312010007,和歌山競輪,7R,10:55,4-6,4,6,261.2,0.03499107038930808,8.13966758568727
7420260310030002,高知競輪,2R,21:10,4-5,4,5,200.2,0.04556940373854903,8.122994628457516
2620260312010003,西武園競輪,3R,16:36,1-2,1,2,286.6,0.03149292406312605,8.025872036491927
