race_id,競輪場,レース番号,開始時間,best_bet,a,b,best_odds,best_p,max_EV
2220260526020002,前橋競輪,2R,16:22,1-6,1,6,917.0,0.03215980185401512,28.490538300131863
2220260526020001,前橋競輪,1R,15:59,5-6,5,6,384.1,0.047843023402833106,17.3765052890282
8620260525030011,別府競輪,11R,20:02,5-6,5,6,464.6,0.032430893699676,14.06739321286947
2120260527010003,弥彦競輪,3R,11:37,2-6,2,6,315.3,0.04743002668493664,13.954687413760524
2220260526020006,前橋競輪,6R,18:04,3-7,3,7,253.5,0.048435494374953536,11.278397824050721
4220260525030006,名古屋競輪,6R,22:45,2-5,2,5,207.0,0.056652150320286275,10.726995116299259
2120260527010004,弥彦競輪,4R,12:05,5-6,5,6,304.8,0.03579385647177843,9.909967452598066
2120260527010010,弥彦競輪,10R,14:53,1-6,1,6,196.2,0.05202452569633454,9.207211941620836
4420260525030008,大垣競輪,8R,14:11,5-6,5,6,269.7,0.03647725697317209,8.837916205664513
2220260526020004,前橋競輪,4R,17:12,5-7,5,7,204.1,0.04591131398981846,8.370499185321947
4420260525030007,大垣競輪,7R,13:43,1-6,1,6,220.7,0.03793590356966785,7.372453917825693
2120260527010007,弥彦競輪,7R,13:29,5-6,5,6,95.0,0.078578122715215,6.464921657945425
8620260525030003,別府競輪,3R,16:33,5-6,5,6,266.6,0.027017050712764515,6.20274572002302
2720260525030007,京王閣競輪,7R,23:30,1-6,1,6,91.5,0.07599658998996958,5.953687984082217
2220260526020003,前橋競輪,3R,16:46,1-6,1,6,139.8,0.048736396067499965,5.8133481702364955
4420260525030012,大垣競輪,12R,16:15,1-4,1,4,146.3,0.04652311576988337,5.806331837133937
4420260525030009,大垣競輪,9R,14:39,1-6,1,6,140.7,0.04832997908049939,5.800028056626263
7520260526020006,松山競輪,6R,10:14,6-7,6,7,261.8,0.025427692879207434,5.656969995776507
2120260527010006,弥彦競輪,6R,13:01,5-6,5,6,391.1,0.01662201044615992,5.500868285493145
7520260526020002,松山競輪,2R,08:50,3-6,3,6,163.9,0.03875835772052571,5.352494830394164
2120260527010002,弥彦競輪,2R,11:10,4-5,4,5,193.8,0.03190744209831445,5.18366227865334
7520260526020007,松山競輪,7R,10:35,3-7,3,7,143.6,0.041150511962662166,4.909213517838287
4420260525030005,大垣競輪,5R,12:47,2-6,2,6,83.6,0.07042018029522551,4.887127072680852
7520260526020004,松山競輪,4R,09:32,3-6,3,6,109.6,0.05347950415383913,4.861353655260769
8620260525030004,別府競輪,4R,16:59,6-7,6,7,198.1,0.02890147949590132,4.725383088138051
8620260525030009,別府競輪,9R,19:09,4-5,4,5,118.8,0.04808473700863332,4.712466756625638
7520260526020005,松山競輪,5R,09:53,1-6,1,6,147.4,0.038087800309204334,4.614141765576719
2120260527010008,弥彦競輪,8R,13:57,5-6,5,6,97.5,0.05554068044209653,4.415216343104412
2220260526020005,前橋競輪,5R,17:38,4-6,4,6,165.5,0.03228492341624665,4.343154825388821
8620260525030007,別府競輪,7R,18:17,1-4,1,4,110.6,0.04671923107658445,4.16714695707024
4420260525030006,大垣競輪,6R,13:15,4-6,4,6,190.3,0.025781254152170273,3.906172665158003
4220260525030001,名古屋競輪,1R,20:41,4-5,4,5,111.7,0.04361687001917498,3.8720043811418456
2220260526020010,前橋競輪,10R,19:48,1-7,1,7,85.5,0.05662972067858745,3.841841118019227
4220260525030007,名古屋競輪,7R,23:12,1-6,1,6,81.0,0.05971672867967443,3.8370550230536287
4420260525030002,大垣競輪,2R,11:23,3-6,3,6,79.4,0.060709239794532896,3.820313639685912
8620260525030010,別府競輪,10R,19:35,1-4,1,4,63.0,0.07498127831219419,3.723820533668234
2120260527010009,弥彦競輪,9R,14:25,1-6,1,6,77.0,0.056856024653901355,3.3779138983504042
8620260525030002,別府競輪,2R,16:07,1-4,1,4,53.6,0.08124854513776873,3.3549220193844045
4420260525030001,大垣競輪,1R,10:57,4-6,4,6,68.7,0.06287640873886657,3.319609280360134
7520260526020001,松山競輪,1R,08:30,1-2,1,2,108.5,0.039040892065647134,3.2359367891227144
2720260525030001,京王閣競輪,1R,20:57,1-5,1,5,33.0,0.1261769154824543,3.163838210920992
4420260525030011,大垣競輪,11R,15:37,3-6,3,6,59.8,0.0685471994136573,3.099122524936707
8620260525030001,別府競輪,1R,15:45,2-5,2,5,51.8,0.07900289591334887,3.092350008311471
8620260525030012,別府競輪,12R,20:30,1-6,1,6,163.9,0.024158123301352148,2.9595164090916173
4420260525030003,大垣競輪,3R,11:51,5-6,5,6,54.3,0.0718949629074847,2.903896485876419
2120260527010011,弥彦競輪,11R,15:22,1-6,1,6,78.9,0.04553862203712396,2.5929972787290807
2220260526020008,前橋競輪,8R,18:56,1-3,1,3,66.0,0.052472913756136615,2.4632123079050166
2220260526020009,前橋競輪,9R,19:22,1-6,1,6,93.0,0.03716138032944133,2.4560083706380436
4420260525030010,大垣競輪,10R,15:07,5-6,5,6,35.9,0.09222850623225952,2.311003373738117
8620260525030005,別府競輪,5R,17:25,5-6,5,6,93.4,0.035011664876243645,2.2700894994411565
2220260526020011,前橋競輪,11R,20:16,1-7,1,7,86.2,0.03790605878206575,2.267502267014068
4420260525030004,大垣競輪,4R,12:19,1-6,1,6,71.6,0.04468983942240484,2.1997925026441862
2120260527010001,弥彦競輪,1R,10:45,1-6,1,6,35.6,0.08885272763112952,2.163157103668211
2220260526020007,前橋競輪,7R,18:30,2-4,2,4,72.7,0.04251976877653704,2.091187190054243
8620260525030008,別府競輪,8R,18:43,1-6,1,6,63.3,0.046434918934738945,1.939330368568975
8620260525030006,別府競輪,6R,17:51,3-7,3,7,42.9,0.0672348518764837,1.8843751455011506
6120260525030001,玉野競輪,1R,20:49,3-4,3,4,58.5,0.04872647602696284,1.850498847577326
2120260527010005,弥彦競輪,5R,12:33,3-7,3,7,94.4,0.027186691405125425,1.5664236686438402
7520260526020003,松山競輪,3R,09:11,3-4,3,4,71.4,0.035544628067855445,1.537886444044879
2120260527010012,弥彦競輪,12R,15:52,1-6,1,6,58.8,0.038360860435378966,1.2556185936002833
6120260525030007,玉野競輪,7R,23:21,4-6,4,6,72.7,0.027017696699556996,0.9641865500577937
4220260525030002,名古屋競輪,2R,21:05,2-6,2,6,24.0,0.07132537970551525,0.711809112932366
6120260525030003,玉野競輪,3R,21:37,1-5,1,5,15.0,0.11278851914630303,0.6918277871945455
4220260525030004,名古屋競輪,4R,21:53,2-4,2,4,12.7,0.12470817784067068,0.5837938585765174
2720260525030006,京王閣競輪,6R,23:03,2-5,2,5,29.2,0.05226525088951562,0.526145325973856
6120260525030002,玉野競輪,2R,21:13,1-7,1,7,15.7,0.0888366030398697,0.3947346677259542
2720260525030003,京王閣競輪,3R,21:45,3-6,3,6,23.2,0.05731956883095156,0.3298139968780762
4220260525030003,名古屋競輪,3R,21:29,1-3,1,3,15.0,0.0862664196810368,0.29399629521555193
2720260525030005,京王閣競輪,5R,22:36,2-5,2,5,19.5,0.06544668216971392,0.27621030230942134
6120260525030004,玉野競輪,4R,22:01,1-2,1,2,12.7,0.0972939345180919,0.2356329683797671
2720260525030002,京王閣競輪,2R,21:21,4-5,4,5,18.0,0.06592158120021299,0.1865884616038338
6120260525030006,玉野競輪,6R,22:54,1-6,1,6,12.0,0.0944060053034553,0.13287206364146353
4220260525030005,名古屋競輪,5R,22:18,1-2,1,2,13.5,0.0835842590863357,0.12838749766553192
6120260525030005,玉野競輪,5R,22:27,1-4,1,4,13.5,0.08242619277459294,0.11275360245700461
2720260525030004,京王閣競輪,4R,22:09,1-5,1,5,18.7,0.05930689002722622,0.10903884350913029
