EV_MIN,ratio,rank_gap,odds_min,odds_max,bets,hit,ROI
3,5.0,8,80,200,172,1,0.8459302325581395
3,1.5,8,80,200,172,1,0.8459302325581395
3,2.0,8,80,200,172,1,0.8459302325581395
3,3.0,8,80,200,172,1,0.8459302325581395
0,5.0,8,80,200,185,1,0.7864864864864864
2,5.0,8,80,200,185,1,0.7864864864864864
1,5.0,8,80,200,185,1,0.7864864864864864
3,3.0,8,50,200,207,1,0.7028985507246377
3,1.5,8,50,200,207,1,0.7028985507246377
3,5.0,8,50,200,207,1,0.7028985507246377
3,2.0,8,50,200,207,1,0.7028985507246377
3,3.0,8,20,200,209,1,0.6961722488038278
3,2.0,8,20,200,209,1,0.6961722488038278
3,1.5,8,20,200,209,1,0.6961722488038278
3,5.0,8,20,200,209,1,0.6961722488038278
3,5.0,8,80,300,223,1,0.6524663677130045
3,2.0,8,80,300,223,1,0.6524663677130045
3,3.0,8,80,300,223,1,0.6524663677130045
3,1.5,8,80,300,223,1,0.6524663677130045
2,1.5,8,80,200,226,1,0.6438053097345132
2,2.0,8,80,200,226,1,0.6438053097345132
2,3.0,8,80,200,226,1,0.6438053097345132
2,5.0,8,50,200,227,1,0.6409691629955947
0,5.0,8,50,200,227,1,0.6409691629955947
1,5.0,8,50,200,227,1,0.6409691629955947
2,5.0,8,20,200,233,1,0.6244635193133047
0,5.0,8,20,200,233,1,0.6244635193133047
1,5.0,8,20,200,233,1,0.6244635193133047
2,3.0,8,20,200,313,2,0.6182108626198083
2,2.0,8,20,200,313,2,0.6182108626198083
2,1.5,8,20,200,313,2,0.6182108626198083
0,5.0,8,80,300,238,1,0.6113445378151261
1,5.0,8,80,300,238,1,0.6113445378151261
2,5.0,8,80,300,238,1,0.6113445378151261
2,3.0,5,20,200,600,4,0.6091666666666666
2,1.5,5,20,200,600,4,0.6091666666666666
2,2.0,5,20,200,600,4,0.6091666666666666
2,2.0,5,80,200,418,2,0.6021531100478469
2,1.5,5,80,200,418,2,0.6021531100478469
2,3.0,5,80,200,418,2,0.6021531100478469
0,3.0,8,80,200,254,1,0.5728346456692913
1,3.0,8,80,200,254,1,0.5728346456692913
3,5.0,8,80,500,254,1,0.5728346456692913
3,3.0,8,80,500,254,1,0.5728346456692913
3,2.0,8,80,500,254,1,0.5728346456692913
3,1.5,8,80,500,254,1,0.5728346456692913
1,3.0,8,20,200,406,3,0.56871921182266
0,3.0,8,20,200,406,3,0.56871921182266
2,3.0,5,50,200,562,3,0.5649466192170819
2,1.5,5,50,200,562,3,0.5649466192170819
2,2.0,5,50,200,562,3,0.5649466192170819
3,1.5,8,50,300,258,1,0.563953488372093
3,2.0,8,50,300,258,1,0.563953488372093
0,1.5,8,80,200,258,1,0.563953488372093
1,2.0,8,80,200,258,1,0.563953488372093
3,3.0,8,50,300,258,1,0.563953488372093
1,1.5,8,80,200,258,1,0.563953488372093
0,2.0,8,80,200,258,1,0.563953488372093
3,5.0,8,50,300,258,1,0.563953488372093
3,1.5,8,20,300,260,1,0.5596153846153846
3,5.0,8,20,300,260,1,0.5596153846153846
3,2.0,8,20,300,260,1,0.5596153846153846
3,3.0,8,20,300,260,1,0.5596153846153846
1,5.0,8,80,500,269,1,0.5408921933085502
0,5.0,8,80,500,269,1,0.5408921933085502
2,5.0,8,80,500,269,1,0.5408921933085502
1,2.0,8,20,200,433,3,0.533256351039261
1,1.5,8,20,200,433,3,0.533256351039261
2,2.0,8,20,300,369,2,0.524390243902439
2,1.5,8,20,300,369,2,0.524390243902439
2,3.0,8,20,300,369,2,0.524390243902439
0,3.0,5,80,200,482,2,0.5221991701244814
1,3.0,5,80,200,482,2,0.5221991701244814
2,5.0,8,50,300,280,1,0.5196428571428572
0,5.0,8,50,300,280,1,0.5196428571428572
1,5.0,8,50,300,280,1,0.5196428571428572
2,3.0,8,80,300,282,1,0.5159574468085106
2,1.5,8,80,300,282,1,0.5159574468085106
2,2.0,8,80,300,282,1,0.5159574468085106
2,2.0,5,20,300,710,4,0.5147887323943662
2,3.0,5,20,300,710,4,0.5147887323943662
2,1.5,5,20,300,710,4,0.5147887323943662
2,5.0,8,20,300,286,1,0.5087412587412588
1,5.0,8,20,300,286,1,0.5087412587412588
0,5.0,8,20,300,286,1,0.5087412587412588
1,2.0,5,80,200,496,2,0.5074596774193548
1,1.5,5,80,200,496,2,0.5074596774193548
3,1.5,8,50,500,289,1,0.5034602076124568
3,2.0,8,50,500,289,1,0.5034602076124568
3,3.0,8,50,500,289,1,0.5034602076124568
3,5.0,8,50,500,289,1,0.5034602076124568
0,1.5,5,80,200,500,2,0.5034
0,2.0,5,80,200,500,2,0.5034
2,2.0,3,20,200,806,5,0.5031017369727047
2,3.0,3,20,200,806,5,0.5031017369727047
2,1.5,3,20,200,807,5,0.5024783147459727
3,2.0,8,20,500,291,1,0.5
3,5.0,8,20,500,291,1,0.5
3,3.0,8,20,500,291,1,0.5
3,1.5,8,20,500,291,1,0.5
0,3.0,8,20,300,462,3,0.4997835497835498
1,3.0,8,20,300,462,3,0.4997835497835498
2,2.0,8,50,200,292,1,0.4982876712328767
2,1.5,8,50,200,292,1,0.4982876712328767
2,3.0,8,50,200,292,1,0.4982876712328767
0,2.0,8,20,200,464,3,0.4976293103448276
0,1.5,8,20,200,469,3,0.4923240938166311
3,5.0,5,80,200,296,1,0.49155405405405406
3,2.0,5,80,200,297,1,0.4898989898989899
3,1.5,5,80,200,297,1,0.4898989898989899
3,3.0,5,80,200,297,1,0.4898989898989899
2,1.5,8,20,500,400,2,0.48375
2,3.0,8,20,500,400,2,0.48375
2,2.0,8,20,500,400,2,0.48375
1,3.0,5,20,200,843,5,0.47793594306049825
0,3.0,5,20,200,843,5,0.47793594306049825
2,1.5,5,80,300,528,2,0.47670454545454544
2,3.0,5,80,300,528,2,0.47670454545454544
2,2.0,5,80,300,528,2,0.47670454545454544
2,3.0,5,20,500,768,4,0.4759114583333333
2,2.0,5,20,500,769,4,0.4752925877763329
2,1.5,5,20,500,769,4,0.4752925877763329
2,3.0,5,50,300,672,3,0.4724702380952381
2,2.0,5,50,300,672,3,0.4724702380952381
2,1.5,5,50,300,672,3,0.4724702380952381
1,1.5,8,20,300,489,3,0.4721881390593047
1,2.0,8,20,300,489,3,0.4721881390593047
0,3.0,8,80,300,310,1,0.4693548387096774
1,3.0,8,80,300,310,1,0.4693548387096774
1,3.0,8,20,500,493,3,0.4683569979716024
0,3.0,8,20,500,493,3,0.4683569979716024
1,5.0,8,50,500,311,1,0.4678456591639871
2,5.0,8,50,500,311,1,0.4678456591639871
0,5.0,8,50,500,311,1,0.4678456591639871
0,3.0,3,20,200,1157,8,0.4668107173725151
1,3.0,3,20,200,1157,8,0.4668107173725151
2,2.0,8,80,500,313,1,0.46485623003194887
2,1.5,8,80,500,313,1,0.46485623003194887
2,3.0,8,80,500,313,1,0.46485623003194887
0,2.0,3,20,200,1486,13,0.46440107671601616
1,1.5,8,80,300,314,1,0.46337579617834396
0,2.0,8,80,300,314,1,0.46337579617834396
0,1.5,8,80,300,314,1,0.46337579617834396
1,2.0,8,80,300,314,1,0.46337579617834396
1,5.0,8,20,500,317,1,0.4589905362776025
2,5.0,8,20,500,317,1,0.4589905362776025
0,5.0,8,20,500,317,1,0.4589905362776025
0,1.5,3,20,200,1566,14,0.4567049808429119
0,2.0,5,20,200,999,7,0.4565565565565566
1,2.0,3,20,200,1273,9,0.4507462686567164
1,1.5,3,20,200,1274,9,0.45039246467817895
0,3.0,5,50,200,709,3,0.44781382228490835
1,3.0,5,50,200,709,3,0.44781382228490835
1,2.0,5,20,200,905,5,0.44519337016574584
1,1.5,5,20,200,905,5,0.44519337016574584
0,2.0,8,20,300,520,3,0.44403846153846155
1,1.5,8,20,500,520,3,0.44403846153846155
1,2.0,8,20,500,520,3,0.44403846153846155
0,1.5,5,20,200,1031,7,0.4423860329776916
0,5.0,5,80,200,329,1,0.44224924012158057
2,5.0,5,80,200,329,1,0.44224924012158057
1,5.0,5,80,200,329,1,0.44224924012158057
0,1.5,8,20,300,525,3,0.4398095238095238
2,2.0,3,80,200,577,2,0.43622183708838824
2,3.0,3,80,200,577,2,0.43622183708838824
2,1.5,3,80,200,577,2,0.43622183708838824
2,3.0,5,50,500,730,3,0.4349315068493151
2,2.0,5,50,500,731,3,0.43433652530779754
2,1.5,5,50,500,731,3,0.43433652530779754
2,3.0,5,80,500,586,2,0.4295221843003413
2,1.5,5,80,500,587,2,0.42879045996592846
2,2.0,5,80,500,587,2,0.42879045996592846
1,1.5,5,50,200,741,3,0.4284750337381916
1,2.0,5,50,200,741,3,0.4284750337381916
1,3.0,8,80,500,341,1,0.42668621700879766
0,3.0,8,80,500,341,1,0.42668621700879766
1,3.0,5,80,300,595,2,0.4230252100840336
0,3.0,5,80,300,595,2,0.4230252100840336
1,2.0,8,80,500,345,1,0.4217391304347826
1,1.5,8,80,500,345,1,0.4217391304347826
0,1.5,8,80,500,345,1,0.4217391304347826
0,2.0,8,80,500,345,1,0.4217391304347826
0,3.0,5,20,300,956,5,0.4214435146443515
1,3.0,5,20,300,956,5,0.4214435146443515
2,3.0,3,20,300,967,5,0.41933815925542917
2,2.0,3,20,300,967,5,0.41933815925542917
0,2.0,8,20,500,551,3,0.4190562613430127
2,1.5,3,20,300,968,5,0.41890495867768596
2,2.0,8,50,300,348,1,0.41810344827586204
2,1.5,8,50,300,348,1,0.41810344827586204
2,3.0,8,50,300,348,1,0.41810344827586204
2,1.5,3,50,200,760,3,0.41776315789473684
2,2.0,3,50,200,760,3,0.41776315789473684
2,3.0,3,50,200,760,3,0.41776315789473684
0,2.0,5,50,200,761,3,0.4172141918528252
0,1.5,5,50,200,764,3,0.4155759162303665
0,1.5,8,20,500,556,3,0.41528776978417264
1,2.0,5,80,300,609,2,0.41330049261083746
1,1.5,5,80,300,609,2,0.41330049261083746
0,2.0,3,20,300,1671,13,0.4129862357869539
0,1.5,5,80,300,613,2,0.4106035889070147
0,2.0,5,80,300,613,2,0.4106035889070147
0,2.0,5,20,300,1112,7,0.41016187050359715
1,3.0,8,50,200,355,1,0.4098591549295775
0,3.0,8,50,200,355,1,0.4098591549295775
0,1.5,3,20,300,1751,14,0.40845231296402057
3,5.0,5,50,200,357,1,0.40756302521008403
3,3.0,5,50,200,358,1,0.4064245810055866
3,1.5,5,50,200,358,1,0.4064245810055866
3,2.0,5,50,200,358,1,0.4064245810055866
1,3.0,3,20,300,1336,8,0.4042664670658683
0,3.0,3,20,300,1336,8,0.4042664670658683
3,5.0,5,20,200,363,1,0.40082644628099173
3,3.0,5,20,200,364,1,0.39972527472527475
3,1.5,5,20,200,364,1,0.39972527472527475
3,2.0,5,20,200,364,1,0.39972527472527475
0,1.5,5,20,300,1144,7,0.39868881118881117
1,3.0,5,20,500,1014,5,0.3973372781065089
0,3.0,5,20,500,1014,5,0.3973372781065089
1,1.5,5,20,300,1018,5,0.39577603143418466
1,2.0,5,20,300,1018,5,0.39577603143418466
1,3.0,3,50,200,972,4,0.39516460905349793
0,3.0,3,50,200,972,4,0.39516460905349793
1,2.0,3,20,300,1455,9,0.39436426116838486
1,1.5,3,20,300,1456,9,0.3940934065934066
1,1.5,8,50,200,371,1,0.3921832884097035
1,2.0,8,50,200,371,1,0.3921832884097035
0,2.0,5,20,500,1171,7,0.38949615713065755
0,2.0,3,20,500,1772,13,0.3894469525959368
1,3.0,5,50,300,822,3,0.3862530413625304
0,3.0,5,50,300,822,3,0.3862530413625304
0,1.5,3,20,500,1852,14,0.3861771058315335
0,3.0,5,80,500,653,2,0.3854517611026034
1,3.0,5,80,500,653,2,0.3854517611026034
2,1.5,8,50,500,379,1,0.3839050131926121
2,2.0,8,50,500,379,1,0.3839050131926121
2,3.0,8,50,500,379,1,0.3839050131926121
0,2.0,8,50,200,380,1,0.3828947368421053
0,1.5,8,50,200,381,1,0.38188976377952755
2,3.0,3,20,500,1064,5,0.38110902255639095
3,5.0,5,80,300,382,1,0.38089005235602097
2,2.0,3,20,500,1066,5,0.3803939962476548
2,1.5,3,20,500,1067,5,0.38003748828491096
0,1.5,5,20,500,1203,7,0.3791354945968412
3,3.0,5,80,300,385,1,0.37792207792207794
3,1.5,5,80,300,385,1,0.37792207792207794
3,2.0,5,80,300,385,1,0.37792207792207794
1,1.5,5,80,500,668,2,0.37679640718562873
1,2.0,5,80,500,668,2,0.37679640718562873
1,3.0,3,20,500,1435,8,0.37637630662020904
0,3.0,3,20,500,1435,8,0.37637630662020904
1,3.0,3,80,200,670,2,0.3756716417910448
0,3.0,3,80,200,670,2,0.3756716417910448
3,5.0,3,80,200,388,1,0.375
0,1.5,5,80,500,672,2,0.37455357142857143
0,2.0,5,80,500,672,2,0.37455357142857143
1,2.0,5,20,500,1077,5,0.37409470752089136
1,1.5,5,20,500,1077,5,0.37409470752089136
3,1.5,3,80,200,389,1,0.3740359897172236
3,3.0,3,80,200,389,1,0.3740359897172236
3,2.0,3,80,200,389,1,0.3740359897172236
1,2.0,3,50,200,1031,4,0.3725509214354995
1,1.5,3,50,200,1031,4,0.3725509214354995
1,1.5,5,50,300,854,3,0.37177985948477754
1,2.0,5,50,300,854,3,0.37177985948477754
1,2.0,3,20,500,1556,9,0.36876606683804625
1,1.5,3,20,500,1557,9,0.368529222864483
0,2.0,5,50,300,874,3,0.36327231121281467
1,1.5,3,80,200,694,2,0.3626801152737752
1,2.0,3,80,200,694,2,0.3626801152737752
0,1.5,5,50,300,877,3,0.3620296465222349
1,3.0,5,50,500,880,3,0.36079545454545453
0,3.0,5,50,500,880,3,0.36079545454545453
0,2.0,3,50,200,1072,4,0.3583022388059702
0,2.0,3,80,200,704,2,0.3575284090909091
0,1.5,3,80,200,705,2,0.3570212765957447
2,5.0,5,50,200,408,1,0.35661764705882354
0,5.0,5,50,200,408,1,0.35661764705882354
1,5.0,5,50,200,408,1,0.35661764705882354
0,1.5,3,50,200,1081,4,0.3553191489361702
1,3.0,8,50,300,411,1,0.354014598540146
0,3.0,8,50,300,411,1,0.354014598540146
1,5.0,5,20,200,418,1,0.3480861244019139
2,5.0,5,20,200,418,1,0.3480861244019139
0,5.0,5,20,200,418,1,0.3480861244019139
1,1.5,5,50,500,913,3,0.34775465498357067
1,2.0,5,50,500,913,3,0.34775465498357067
2,1.5,3,50,300,921,3,0.34473398479913137
2,2.0,3,50,300,921,3,0.34473398479913137
2,3.0,3,50,300,921,3,0.34473398479913137
1,5.0,5,80,300,423,1,0.34397163120567376
0,5.0,5,80,300,423,1,0.34397163120567376
2,5.0,5,80,300,423,1,0.34397163120567376
2,1.5,3,80,300,738,2,0.3410569105691057
2,2.0,3,80,300,738,2,0.3410569105691057
2,3.0,3,80,300,738,2,0.3410569105691057
1,1.5,8,50,300,427,1,0.3407494145199063
1,2.0,8,50,300,427,1,0.3407494145199063
0,2.0,5,50,500,933,3,0.3403001071811361
0,1.5,5,50,500,936,3,0.3392094017094017
0,2.0,8,50,300,436,1,0.33371559633027525
0,3.0,3,50,300,1151,4,0.33370981754995654
1,3.0,3,50,300,1151,4,0.33370981754995654
0,1.5,8,50,300,437,1,0.3329519450800915
3,5.0,5,80,500,438,1,0.3321917808219178
3,3.0,5,80,500,441,1,0.3299319727891156
1,3.0,8,50,500,442,1,0.32918552036199095
3,2.0,5,80,500,442,1,0.32918552036199095
3,1.5,5,80,500,442,1,0.32918552036199095
0,3.0,8,50,500,442,1,0.32918552036199095
3,5.0,5,50,300,443,1,0.32844243792325056
0,5.0,3,80,200,443,1,0.32844243792325056
2,5.0,3,80,200,443,1,0.32844243792325056
1,5.0,3,80,200,443,1,0.32844243792325056
3,3.0,5,50,300,446,1,0.32623318385650224
3,2.0,5,50,300,446,1,0.32623318385650224
3,1.5,5,50,300,446,1,0.32623318385650224
3,5.0,5,20,300,449,1,0.32405345211581293
3,2.0,5,20,300,452,1,0.3219026548672566
3,3.0,5,20,300,452,1,0.3219026548672566
3,1.5,5,20,300,452,1,0.3219026548672566
3,5.0,3,50,200,457,1,0.31838074398249455
3,2.0,3,50,200,458,1,0.31768558951965065
3,3.0,3,50,200,458,1,0.31768558951965065
3,1.5,3,50,200,458,1,0.31768558951965065
1,2.0,8,50,500,458,1,0.31768558951965065
1,1.5,8,50,500,458,1,0.31768558951965065
1,1.5,3,50,300,1213,4,0.31665292662819455
1,2.0,3,50,300,1213,4,0.31665292662819455
3,5.0,3,20,200,464,1,0.3135775862068966
3,2.0,3,20,200,465,1,0.31290322580645163
3,3.0,3,20,200,465,1,0.31290322580645163
3,1.5,3,20,200,466,1,0.31223175965665234
2,3.0,3,50,500,1018,3,0.3118860510805501
0,2.0,8,50,500,467,1,0.31156316916488225
2,2.0,3,50,500,1020,3,0.3112745098039216
2,1.5,3,50,500,1020,3,0.3112745098039216
0,1.5,8,50,500,468,1,0.3108974358974359
1,3.0,3,50,500,1250,4,0.30728
0,3.0,3,50,500,1250,4,0.30728
0,2.0,3,50,300,1257,4,0.30556881463802704
2,5.0,5,80,500,479,1,0.3037578288100209
1,5.0,5,80,500,479,1,0.3037578288100209
0,5.0,5,80,500,479,1,0.3037578288100209
0,1.5,3,50,300,1266,4,0.3033965244865719
2,3.0,3,80,500,835,2,0.301437125748503
2,1.5,3,80,500,837,2,0.3007168458781362
2,2.0,3,80,500,837,2,0.3007168458781362
0,3.0,3,80,300,849,2,0.2964664310954064
1,3.0,3,80,300,849,2,0.2964664310954064
1,2.0,3,50,500,1314,4,0.29231354642313545
1,1.5,3,50,500,1314,4,0.29231354642313545
3,5.0,5,50,500,499,1,0.29158316633266534
1,5.0,5,50,300,502,1,0.2898406374501992
0,5.0,5,50,300,502,1,0.2898406374501992
2,5.0,5,50,300,502,1,0.2898406374501992
3,3.0,5,50,500,502,1,0.2898406374501992
3,1.5,5,50,500,503,1,0.28926441351888665
3,2.0,5,50,500,503,1,0.28926441351888665
