race_id,競輪場,レース番号,開始時間,買い目,true_pair,hit,odds,p,EV,rank_gap,distortion_ratio,distortion_score,stake,payout,bankroll_after_bet
2220260307010001,前橋競輪,1R,16:03,1-3,1-2,0,152.6,0.0551706785372031,7.419045544777205,11.0,11.357301249947964,0.600414068348691,100,0,99900
2220260307010003,前橋競輪,3R,16:50,1-6,1-4,0,121.0,0.0690969770002517,7.360734217030458,10.0,11.362300084483069,0.3395506358848921,100,0,99800
2620260304010001,西武園競輪,1R,11:05,1-6,3-7,0,132.9,0.0509470761029548,5.770866414082703,9.0,9.08793123760534,1.0297217731313475,100,0,99700
2620260304010002,西武園競輪,2R,11:32,6-7,1-7,0,127.0,0.0684400170577214,7.691882166330627,10.0,11.766969704801818,1.3712480846372703,100,0,99600
2620260304010004,西武園競輪,4R,12:26,5-7,2-5,0,131.9,0.0552919431979921,6.293007307815161,8.0,10.095590684676177,0.9984604995899244,100,0,99500
2620260304010007,西武園競輪,7R,13:48,5-6,1-4,0,135.7,0.0629282035056713,7.5393572157196065,11.0,11.610321486562237,1.0272110490205015,100,0,99400
2620260304020007,西武園競輪,7R,13:41,4-5,6-7,0,124.3,0.0564673482383663,6.018891386028934,10.0,9.46549101362764,1.2021911414244777,100,0,99300
2620260304030002,西武園競輪,2R,11:28,4-5,1-2,0,166.8,0.0384963710316781,5.421194688083913,8.0,8.686936617702196,0.4595858129335159,100,0,99200
2620260304030008,西武園競輪,8R,14:02,4-6,1-3,0,139.7,0.0436269273702352,5.0946817536218605,9.0,8.254423846915248,0.5438960495888526,100,0,99100
2720260301030007,京王閣競輪,7R,18:30,1-2,6-7,0,140.6,0.0489981082351708,5.889134017865028,8.0,9.294940931314082,1.11239469060511,100,0,99000
2820260307010005,立川競輪,5R,10:13,1-6,1-7,0,143.0,0.0693939128899082,8.923329543256873,11.0,13.890146342999572,0.6967835908354799,100,0,98900
2820260307010006,立川競輪,6R,10:34,1-7,3-7,0,168.0,0.0474753420247055,6.97585746015053,8.0,10.83666677208724,0.471590018104941,100,0,98800
3620260303020001,小田原競輪,1R,09:00,1-6,1-7,0,129.0,0.0639869793760702,7.254320339513059,9.0,11.292757875308542,0.2376763282456746,100,0,98700
