race_id,chosen_pair,true_pair,hit,stake,payout
2220260225030001,1-3,3-6,False,100,0
2220260225030001,1-7,3-6,False,100,0
2220260225030001,1-2,3-6,False,100,0
2220260225030002,4-5,2-4,False,100,0
2220260225030002,2-5,2-4,False,100,0
2220260225030002,2-4,2-4,True,100,1090
2220260225030003,3-7,6-7,False,100,0
2220260225030003,2-7,6-7,False,100,0
2220260225030003,5-7,6-7,False,100,0
2320260225030001,4-5,2-6,False,100,0
2320260225030001,3-4,2-6,False,100,0
2320260225030001,3-5,2-6,False,100,0
2320260225030002,4-5,3-5,False,100,0
2320260225030002,1-5,3-5,False,100,0
2320260225030002,1-4,3-5,False,100,0
2320260225030003,1-5,3-5,False,100,0
2320260225030003,1-3,3-5,False,100,0
2320260225030003,1-6,3-5,False,100,0
2320260225030004,5-7,2-6,False,100,0
2320260225030004,6-7,2-6,False,100,0
2320260225030004,4-7,2-6,False,100,0
2320260225030005,1-5,1-5,True,100,290
2320260225030005,1-2,1-5,False,100,0
2320260225030005,1-4,1-5,False,100,0
2320260225030006,1-3,1-5,False,100,0
2320260225030006,3-4,1-5,False,100,0
2320260225030006,3-5,1-5,False,100,0
2320260225030007,1-7,1-7,True,100,190
2320260225030007,1-2,1-7,False,100,0
2320260225030007,2-7,1-7,False,100,0
2320260225030008,1-5,4-5,False,100,0
2320260225030008,1-2,4-5,False,100,0
2320260225030008,1-4,4-5,False,100,0
2320260225030009,1-7,1-4,False,100,0
2320260225030009,1-5,1-4,False,100,0
2320260225030009,5-7,1-4,False,100,0
2320260225030010,1-5,4-5,False,100,0
2320260225030010,1-2,4-5,False,100,0
2320260225030010,1-3,4-5,False,100,0
2320260225030011,1-3,1-7,False,100,0
2320260225030011,3-4,1-7,False,100,0
2320260225030011,3-5,1-7,False,100,0
3620260225030001,1-5,3-6,False,100,0
3620260225030001,1-6,3-6,False,100,0
3620260225030001,1-7,3-6,False,100,0
3620260225030002,1-4,1-4,True,100,190
3620260225030002,2-4,1-4,False,100,0
3620260225030002,4-7,1-4,False,100,0
3620260225030003,2-5,2-4,False,100,0
3620260225030003,5-7,2-4,False,100,0
3620260225030003,1-5,2-4,False,100,0
3620260225030004,5-7,1-5,False,100,0
3620260225030004,1-7,1-5,False,100,0
3620260225030004,1-5,1-5,True,100,780
3620260225030005,2-4,1-5,False,100,0
3620260225030005,2-5,1-5,False,100,0
3620260225030005,1-2,1-5,False,100,0
3620260225030006,2-4,3-4,False,100,0
3620260225030006,3-4,3-4,True,100,170
3620260225030006,4-5,3-4,False,100,0
3620260225030007,3-4,2-4,False,100,0
3620260225030007,2-3,2-4,False,100,0
3620260225030007,1-3,2-4,False,100,0
3620260225030008,5-7,2-7,False,100,0
3620260225030008,4-7,2-7,False,100,0
3620260225030008,1-7,2-7,False,100,0
3620260225030009,1-5,4-7,False,100,0
3620260225030009,3-5,4-7,False,100,0
3620260225030009,5-7,4-7,False,100,0
3620260225030010,1-7,2-7,False,100,0
3620260225030010,1-5,2-7,False,100,0
3620260225030010,1-6,2-7,False,100,0
3620260225030011,1-4,1-4,True,100,270
3620260225030011,4-7,1-4,False,100,0
3620260225030011,1-7,1-4,False,100,0
3620260225030012,1-4,2-4,False,100,0
3620260225030012,2-4,2-4,True,100,2830
3620260225030012,4-5,2-4,False,100,0
5320260227010001,1-3,2-5,False,100,0
5320260227010001,1-5,2-5,False,100,0
5320260227010001,1-7,2-5,False,100,0
5320260227010002,3-5,1-5,False,100,0
5320260227010002,5-7,1-5,False,100,0
5320260227010002,3-7,1-5,False,100,0
5320260227010003,2-5,1-7,False,100,0
5320260227010003,2-7,1-7,False,100,0
5320260227010003,2-6,1-7,False,100,0
5320260227010004,3-4,3-4,True,100,100
5320260227010004,4-7,3-4,False,100,0
5320260227010004,4-6,3-4,False,100,0
5320260227010005,1-7,1-7,True,100,150
5320260227010005,1-6,1-7,False,100,0
5320260227010005,1-3,1-7,False,100,0
5320260227010006,2-7,1-7,False,100,0
5320260227010006,4-7,1-7,False,100,0
5320260227010006,5-7,1-7,False,100,0
5320260227010007,1-6,1-3,False,100,0
5320260227010007,1-5,1-3,False,100,0
5320260227010007,1-3,1-3,True,100,260
7520260227010001,4-5,1-5,False,100,0
7520260227010001,5-7,1-5,False,100,0
7520260227010001,1-5,1-5,True,100,350
7520260227010002,4-7,2-4,False,100,0
7520260227010002,4-5,2-4,False,100,0
7520260227010002,5-7,2-4,False,100,0
7520260227010003,5-7,3-5,False,100,0
7520260227010003,3-5,3-5,True,100,190
7520260227010003,1-5,3-5,False,100,0
