TOP_N,EV_MIN,matched_races,bought_races,hit_races,stake,payout,ROI,final_bankroll
1,0.0,41,41,1,4100,14550,3.548780487804878,110450
1,0.1,41,41,1,4100,14550,3.548780487804878,110450
1,0.2,41,41,1,4100,14550,3.548780487804878,110450
1,0.5,41,41,1,4100,14550,3.548780487804878,110450
2,0.0,41,41,1,8200,14550,1.774390243902439,106350
2,0.1,41,41,1,8200,14550,1.774390243902439,106350
2,0.2,41,41,1,8200,14550,1.774390243902439,106350
2,0.5,41,41,1,8200,14550,1.774390243902439,106350
3,0.0,41,41,1,12300,14550,1.1829268292682926,102250
3,0.1,41,41,1,12300,14550,1.1829268292682926,102250
3,0.2,41,41,1,12300,14550,1.1829268292682926,102250
3,0.5,41,41,1,12300,14550,1.1829268292682926,102250
5,0.0,41,41,1,20500,14550,0.7097560975609756,94050
5,0.1,41,41,1,20500,14550,0.7097560975609756,94050
5,0.2,41,41,1,20500,14550,0.7097560975609756,94050
5,0.5,41,41,1,20500,14550,0.7097560975609756,94050
