TOP_N,P_MIN,EV_MIN,RACE_CAP,races,hit_races,hit_rate,stake,payout,ROI,max_DD,final_bankroll,max_losing_streak
5,0.004,2.0,0.01,215,1,0.004651162790697674,137800,81860,0.5940493468795356,0.7504531037607612,44060,207
5,0.004,1.0,0.01,217,1,0.004608294930875576,138000,81860,0.5931884057971014,0.7515858631626643,43860,209
5,0.004,0.0,0.01,219,1,0.0045662100456621,138100,81860,0.5927588703837798,0.7521522428636158,43760,211
5,0.003,2.0,0.003,216,0,0.0,100,0,0.0,0.001,99900,216
5,0.004,0.0,0.003,219,0,0.0,200,0,0.0,0.002,99800,219
5,0.003,0.0,0.003,219,0,0.0,300,0,0.0,0.003,99700,219
5,0.004,2.0,0.003,215,0,0.0,300,0,0.0,0.003,99700,215
5,0.004,1.0,0.003,217,0,0.0,400,0,0.0,0.004,99600,217
5,0.003,1.0,0.003,219,0,0.0,500,0,0.0,0.005,99500,219
5,0.002,2.0,0.003,216,0,0.0,900,0,0.0,0.009,99100,216
5,0.002,0.0,0.003,219,0,0.0,1100,0,0.0,0.011,98900,219
5,0.002,1.0,0.003,219,0,0.0,1300,0,0.0,0.013,98700,219
5,0.0,2.0,0.003,216,0,0.0,2100,0,0.0,0.021,97900,216
5,0.0,0.0,0.003,219,0,0.0,2300,0,0.0,0.023,97700,219
5,0.003,5.0,0.003,203,0,0.0,2400,0,0.0,0.024,97600,203
5,0.0,1.0,0.003,219,0,0.0,2500,0,0.0,0.025,97500,219
5,0.004,5.0,0.003,199,0,0.0,2600,0,0.0,0.026,97400,199
5,0.002,5.0,0.003,205,0,0.0,2900,0,0.0,0.029,97100,205
5,0.0,5.0,0.003,205,0,0.0,3700,0,0.0,0.037,96300,205
3,0.004,0.0,0.003,219,0,0.0,5200,0,0.0,0.052,94800,219
3,0.004,2.0,0.003,215,0,0.0,5200,0,0.0,0.052,94800,215
3,0.004,1.0,0.003,217,0,0.0,5400,0,0.0,0.054,94600,217
3,0.003,0.0,0.003,219,0,0.0,6000,0,0.0,0.06,94000,219
3,0.003,2.0,0.003,216,0,0.0,6000,0,0.0,0.06,94000,216
3,0.003,1.0,0.003,219,0,0.0,6200,0,0.0,0.062,93800,219
3,0.004,5.0,0.003,199,0,0.0,6300,0,0.0,0.063,93700,199
3,0.002,2.0,0.003,216,0,0.0,7100,0,0.0,0.071,92900,216
3,0.003,5.0,0.003,203,0,0.0,7100,0,0.0,0.071,92900,203
3,0.002,0.0,0.003,219,0,0.0,7500,0,0.0,0.075,92500,219
3,0.002,1.0,0.003,219,0,0.0,7800,0,0.0,0.078,92200,219
3,0.002,5.0,0.003,205,0,0.0,8100,0,0.0,0.081,91900,205
3,0.0,0.0,0.003,219,0,0.0,8400,0,0.0,0.084,91600,219
3,0.0,2.0,0.003,216,0,0.0,8400,0,0.0,0.084,91600,216
3,0.0,1.0,0.003,219,0,0.0,8600,0,0.0,0.086,91400,219
3,0.0,5.0,0.003,205,0,0.0,9000,0,0.0,0.09,91000,205
5,0.004,0.0,0.005,219,0,0.0,21300,0,0.0,0.213,78700,219
5,0.004,2.0,0.005,215,0,0.0,21400,0,0.0,0.214,78600,215
5,0.004,1.0,0.005,217,0,0.0,21500,0,0.0,0.215,78500,217
5,0.003,0.0,0.005,219,0,0.0,22100,0,0.0,0.221,77900,219
5,0.003,2.0,0.005,216,0,0.0,22100,0,0.0,0.221,77900,216
5,0.003,1.0,0.005,219,0,0.0,22300,0,0.0,0.223,77700,219
5,0.003,5.0,0.005,203,0,0.0,23100,0,0.0,0.231,76900,203
5,0.004,5.0,0.005,199,0,0.0,23500,0,0.0,0.235,76500,199
5,0.002,0.0,0.005,219,0,0.0,24600,0,0.0,0.246,75400,219
5,0.002,2.0,0.005,216,0,0.0,24600,0,0.0,0.246,75400,216
