race_id,sanrentan_result,payout_sanrentan_100
2720260223010001,3-2-6,32520
2720260223010002,5-2-1,30370
3120260222020001,1-5-7,810
3120260222020002,2-7-4,19360
3120260222020003,4-3-7,12730
3120260222020004,7-4-1,23880
3120260222020005,3-4-2,8940
3120260222020006,1-7-4,550
3120260222020007,1-5-4,300
3520260223010001,2-3-5,2050
4520260223010001,7-2-5,1740
4520260223010002,2-3-5,23710
4520260223010003,2-5-3,23990
4520260223010004,1-3-5,470
4520260223010005,2-5-3,1030
4520260223010006,2-7-5,3170
4520260223010007,3-7-4,6130
4520260223010008,1-4-7,650
4520260223010009,1-4-2,830
4520260223010010,2-4-6,2940
4520260223010011,4-7-3,8580
4520260223010012,3-1-2,9430
6120260223010001,2-1-5,900
6120260223010002,5-6-3,11220
6320260221030001,1-4-7,6920
6320260221030002,2-3-7,6550
6320260221030003,4-7-3,1180
6320260221030004,5-1-4,1520
6320260221030005,4-2-3,3480
6320260221030006,1-3-5,2230
6320260221030007,7-1-4,750
6320260221030008,7-4-3,2000
6320260221030009,1-5-6,47670
6320260221030010,1-5-7,28890
6320260221030011,7-1-5,2150
6320260221030012,5-1-4,4490
7420260222020001,3-1-6,11390
7420260222020002,6-1-3,3600
7420260222020003,3-7-2,1670
7420260222020004,5-7-1,290
7420260222020005,5-1-4,6550
7420260222020006,5-4-6,4360
7420260222020007,2-1-6,3290
7420260222020008,5-2-1,6740
7420260222020009,7-1-5,36580
7420260222020010,7-1-3,3630
7420260222020011,3-7-1,3160
8720260220040001,7-2-8,6210
8720260220040002,3-7-4,17640
8720260220040003,7-9-3,35260
8720260220040004,8-4-9,102650
8720260220040005,2-4-3,119120
8720260220040006,8-1-4,327530
8720260220040007,9-5-7,74350
8720260220040008,9-6-8,85530
8720260220040009,3-6-4,10200
8720260220040010,3-4-9,5240
8720260220040011,7-2-5,35210
8720260220040012,3-9-7,1940
3120260222030001,1-7-5,2840
3120260222030002,6-5-7,10800
3120260222030003,3-2-1,15220
3120260222030004,4-5-2,2160
3120260222030005,5-3-6,19860
3120260222030006,1-7-3,1760
3120260222030007,2-5-7,22440
4520260223020001,2-3-5,16900
4520260223020002,4-2-1,2140
4520260223020003,7-5-1,5470
5620260224010001,3-7-5,850
5620260224010002,2-7-1,1390
5620260224010003,5-7-1,2390
5620260224010004,4-1-5,520
5620260224010005,7-3-5,370
5620260224010006,7-2-5,25910
5620260224010007,6-2-1,2600
5620260224010008,4-7-3,27160
5620260224010009,4-6-3,29850
5620260224010010,2-4-3,760
5620260224010011,1-3-2,4340
5620260224010012,3-4-7,59210
7420260222030001,4-3-1,4540
7420260222030002,5-3-2,2370
7420260222030003,4-6-1,1040
8620260224010001,3-2-6,119880
8620260224010002,5-3-7,190
8620260224010003,7-1-4,360
8620260224010004,3-1-4,18310
8620260224010005,4-5-6,11370
8620260224010006,4-2-7,520
8620260224010007,6-1-7,5810
2220260225010001,4-6-7,11190
2220260225010002,1-4-2,980
2220260225010003,2-5-1,5720
2320260225010001,3-2-6,16800
2320260225010002,7-3-1,1410
2320260225010003,5-1-7,6720
2320260225010004,1-2-4,1290
2320260225010005,4-6-2,1000
2320260225010006,7-3-1,270
2320260225010007,2-7-5,2300
2320260225010008,1-2-5,2300
2320260225010009,3-2-4,266530
2320260225010010,1-4-7,230
2320260225010011,6-1-4,3440
3620260225010001,4-1-5,13770
3620260225010002,7-2-4,2440
3620260225010003,2-7-1,3650
3620260225010004,2-5-4,1090
3620260225010005,2-7-1,2270
3620260225010006,5-4-7,7820
3620260225010007,4-3-1,870
3620260225010008,1-4-5,1190
3620260225010009,2-5-1,5300
3620260225010010,7-1-2,4020
3620260225010011,3-7-4,2680
3620260225010012,5-2-7,9500
4520260223030001,7-3-6,7400
4520260223030002,7-1-2,6070
4520260223030003,3-4-1,3210
5620260224020001,1-5-3,2650
5620260224020002,2-5-1,19930
5620260224020004,1-3-2,6660
5620260224020005,1-3-7,23820
5620260224020006,7-1-5,1780
5620260224020007,5-7-2,32940
5620260224020008,7-1-4,2430
5620260224020009,1-3-5,15470
5620260224020010,2-1-5,110190
5620260224020011,3-4-1,5710
5620260224020012,3-2-7,15420
8620260224020001,3-6-4,20440
8620260224020002,2-6-4,26410
8620260224020003,1-7-2,1240
8620260224020004,4-2-5,18130
8620260224020005,4-2-5,4900
8620260224020006,7-6-4,350
8620260224020007,3-5-4,2930
2220260225020001,4-2-6,910
2220260225020002,2-7-3,2530
2220260225020003,5-1-3,4510
2320260225020001,3-5-1,22180
2320260225020002,4-1-5,11340
2320260225020003,5-2-1,9640
2320260225020004,3-4-1,2750
2320260225020005,2-6-5,4250
2320260225020006,6-1-4,9850
2320260225020007,7-3-5,6870
2320260225020008,1-4-3,16350
2320260225020009,4-3-1,9010
2320260225020010,5-2-3,710
2320260225020011,7-5-1,2280
