race_id,競輪場,レース番号,開始時間,買い目,first,second,third,odds,p,EV
7420260222020006,高知競輪,6R,18:06,3-7-6,3,7,6,9999.9,0.004225013424740549,41.249711746063014
2720260223010002,京王閣競輪,2R,21:13,2-7-4,2,7,4,5544.8,0.007356850949464538,39.79226714459097
4520260223010004,豊橋競輪,4R,17:06,7-6-3,7,6,3,6790.6,0.00581234047395873,38.46927922246415
7420260222020006,高知競輪,6R,18:06,3-4-7,3,4,7,9999.9,0.003831625526949099,37.31587210693829
4520260223010004,豊橋競輪,4R,17:06,7-6-2,7,6,2,9999.9,0.003736167877363345,36.36130515684571
3520260223010005,平塚競輪,5R,22:36,5-4-2,5,4,2,3141.5,0.01180794171229689,36.09464888918068
7420260222020006,高知競輪,6R,18:06,1-4-2,1,4,2,9909.1,0.00360456205974695,34.717965906238504
7420260222020006,高知競輪,6R,18:06,3-6-7,3,6,7,8139.6,0.004356902743843976,34.46344557379243
2720260223010004,京王閣競輪,4R,22:01,6-5-7,6,5,7,9999.9,0.0035068170273702287,34.06781959199955
7420260222020005,高知競輪,5R,17:42,3-7-6,3,7,6,8034.1,0.004250338454509912,33.14764417737808
7420260222020006,高知競輪,6R,18:06,1-7-2,1,7,2,9999.9,0.0033982435994963783,32.98209617060383
7420260222020004,高知競輪,4R,17:18,4-6-7,4,6,7,4208.7,0.008055597629381748,32.90359374277896
4520260223010011,豊橋競輪,11R,20:02,3-6-5,3,6,5,9942.5,0.0033744448800106966,32.55041821950635
7420260222020006,高知競輪,6R,18:06,1-6-7,1,6,7,9999.9,0.003352137758440536,32.521042370629516
2720260223010001,京王閣競輪,1R,20:49,6-7-4,6,7,4,5958.4,0.005578685093204957,32.24003725935241
2720260223010004,京王閣競輪,4R,22:01,6-7-5,6,7,5,9999.9,0.003319970306324033,32.1993710662097
2720260223010001,京王閣競輪,1R,20:49,6-7-3,6,7,3,5055.6,0.006469144813662194,31.705408519950588
6120260223010003,玉野競輪,3R,21:29,1-7-6,1,7,6,4690.9,0.006945363751340299,31.580006821162208
7420260222020006,高知競輪,6R,18:06,1-7-6,1,7,6,9999.9,0.003253960631026141,31.5392809141983
2720260223010001,京王閣競輪,1R,20:49,6-4-7,6,4,7,5958.4,0.005345358218777449,30.84978241076355
7420260222020006,高知競輪,6R,18:06,6-7-2,6,7,2,9999.9,0.003149044243582532,30.490127531400958
2720260223010001,京王閣競輪,1R,20:49,2-7-3,2,7,3,5213.6,0.005995362127316512,30.25741998697737
2720260223010001,京王閣競輪,1R,20:49,1-7-6,1,7,6,1962.7,0.015905631587953186,30.21798311767572
4520260223010009,豊橋競輪,9R,19:09,2-6-7,2,6,7,4257.6,0.007211062143754836,29.70181818325059
7420260222020006,高知競輪,6R,18:06,3-7-2,3,7,2,6906.4,0.004412353576596023,29.47347874140277
2720260223010002,京王閣競輪,2R,21:13,2-7-6,2,7,6,3276.5,0.00918910305638358,29.108096164240802
2720260223010001,京王閣競輪,1R,20:49,6-7-2,6,7,2,4390.4,0.006785352221294662,28.79041039237208
2720260223010002,京王閣競輪,2R,21:13,2-4-7,2,4,7,4080.1,0.007264445176089112,28.639662762961184
2720260223010002,京王閣競輪,2R,21:13,2-7-3,2,7,3,3487.8,0.008456630560105014,28.49503606753427
2720260223010001,京王閣競輪,1R,20:49,2-7-6,2,7,6,4906.9,0.006002954076319065,28.455895357090018
7420260222020006,高知競輪,6R,18:06,4-7-6,4,7,6,9116.4,0.0032262863513482423,28.412116893431115
7420260222020006,高知競輪,6R,18:06,6-3-7,6,3,7,9999.9,0.0029092252265133273,28.09196134261062
2720260223010001,京王閣競輪,1R,20:49,2-7-4,2,7,4,5561.2,0.005170117270738945,27.752056166033423
7420260222020006,高知競輪,6R,18:06,6-7-3,6,7,3,9999.9,0.0028531396392414243,27.53111107845032
4520260223010004,豊橋競輪,4R,17:06,7-6-1,7,6,1,4701.2,0.006027836818723739,27.33806645218404
7420260222020006,高知競輪,6R,18:06,2-7-4,2,7,4,3929.5,0.007019175138791423,26.581848707880894
3120260222020007,松戸競輪,7R,10:55,3-6-4,3,6,4,8180.0,0.003362166461304987,26.502521653474794
7420260222020006,高知競輪,6R,18:06,4-7-2,4,7,2,8139.6,0.003369342222236496,26.425097952116186
2720260223010002,京王閣競輪,2R,21:13,2-7-1,2,7,1,2922.2,0.009250142431073461,26.030766212082867
4520260223010004,豊橋競輪,4R,17:06,7-6-5,7,6,5,5685.2,0.0047510209759910604,26.010504452704375
4520260223010004,豊橋競輪,4R,17:06,7-2-6,7,2,6,7639.5,0.0035284758498774506,25.955791255138784
2720260223010001,京王閣競輪,1R,20:49,6-7-1,6,7,1,3626.9,0.007412851895508318,25.88567253981912
2720260223010005,京王閣競輪,5R,22:27,6-7-2,6,7,2,9999.9,0.0026877801498642146,25.87753272062716
4520260223010011,豊橋競輪,11R,20:02,2-6-7,2,6,7,8030.5,0.0033342608074844234,25.775781414503662
7420260222020006,高知競輪,6R,18:06,3-1-7,3,1,7,8139.6,0.0032694484910828527,25.612002938017987
7420260222020004,高知競輪,4R,17:18,4-6-2,4,6,2,2882.7,0.009176312013185646,25.45255464041026
7420260222020006,高知競輪,6R,18:06,2-7-1,2,7,1,4300.2,0.006132321819736227,25.370210289229725
7420260222020005,高知競輪,5R,17:42,7-3-6,7,3,6,9947.0,0.002612172886361039,24.983283700633255
7420260222020006,高知競輪,6R,18:06,3-7-5,3,7,5,5697.7,0.0045252506681089264,24.78352073168423
7420260222020006,高知競輪,6R,18:06,1-3-7,1,3,7,8139.6,0.003136774623735675,24.5320907273589
