競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数
大宮競輪,1R,08:50,最終日,Ａ,"=""2-1""","=""2-1-5""",4,"=""1-5-4""",3,0.42,0.21,0.16,0.11,0.73,53.77,6
大宮競輪,2R,09:10,最終日,Ａ,"=""2-1""","=""2-1-3""",4,"=""2-5-1""",4,0.31,0.18,0.17,0.15,0.51,38.59,6
大宮競輪,3R,09:31,最終日,Ａ,"=""1-4""","=""1-4-2""",3,"=""3-2-1""",5,0.37,0.27,0.2,0.2,0.46,42.01,7
大宮競輪,4R,09:52,最終日,Ａ,"=""1-3""","=""1-3-7""",2,"=""5-1-4""",7,0.46,0.29,0.24,0.12,0.74,55.57,7
大宮競輪,5R,10:13,最終日,Ａ,"=""5-3""","=""5-3-4""",1,"=""3-4-1""",7,0.29,0.27,0.19,0.16,0.45,35.13,7
大宮競輪,6R,10:34,最終日,Ａ,"=""4-3""","=""4-3-2""",7,"=""1-7-3""",2,0.46,0.31,0.17,0.16,0.66,53.74,7
平塚競輪,1R,10:45,2日目,Ｓ,"=""9-2""","=""9-2-1""",3,"=""3-1-2""",7,0.34,0.16,0.15,0.14,0.59,46.09,9
大宮競輪,7R,10:55,最終日,Ａ,"=""2-4""","=""2-4-5""",7,"=""1-3-5""",6,0.22,0.15,0.14,0.13,0.43,31.75,7
立川競輪,1R,11:00,2日目,チ,"=""3-7""","=""3-7-6""",4,"=""5-2-3""",4,0.4,0.32,0.16,0.14,0.65,48.67,7
平塚競輪,2R,11:15,2日目,Ｓ,"=""1-3""","=""1-3-2""",9,"=""9-5-1""",7,0.4,0.35,0.33,0.16,0.61,47.74,9
立川競輪,2R,11:22,2日目,チ,"=""5-3""","=""5-3-4""",1,"=""4-3-1""",7,0.42,0.3,0.2,0.13,0.69,51.76,7
平塚競輪,3R,11:45,2日目,Ｓ,"=""7-5""","=""7-5-3""",1,"=""7-5-6""",9,0.19,0.15,0.15,0.14,0.28,23.95,9
立川競輪,3R,11:50,2日目,チ,"=""1-4""","=""1-4-7""",5,"=""7-5-2""",3,0.45,0.25,0.19,0.19,0.58,50.46,7
立川競輪,4R,12:13,2日目,チ,"=""3-4""","=""3-4-2""",7,"=""4-7-1""",2,0.46,0.26,0.15,0.14,0.69,55.05,7
平塚競輪,4R,12:19,2日目,Ｓ,"=""7-5""","=""7-5-2""",1,"=""2-5-9""",1,0.46,0.24,0.22,0.16,0.64,53.88,9
立川競輪,5R,12:37,2日目,ガ,"=""5-3""","=""5-3-6""",1,"=""1-3-5""",4,0.24,0.21,0.15,0.12,0.52,35.26,7
平塚競輪,5R,12:53,2日目,Ｓ,"=""9-1""","=""9-1-7""",3,"=""7-3-2""",1,0.26,0.2,0.2,0.15,0.44,34.5,9
立川競輪,6R,13:12,2日目,ガ,"=""4-5""","=""4-5-3""",7,"=""2-5-1""",4,0.16,0.14,0.12,0.1,0.35,23.56,7
平塚競輪,6R,13:27,2日目,Ｓ,"=""1-9""","=""1-9-2""",6,"=""7-5-9""",2,0.39,0.38,0.24,0.13,0.68,49.88,9
立川競輪,7R,13:47,2日目,Ａ,"=""3-7""","=""3-7-4""",1,"=""1-7-4""",2,0.5,0.2,0.13,0.13,0.75,59.43,7
平塚競輪,7R,14:01,2日目,Ｓ,"=""1-3""","=""1-3-7""",9,"=""3-9-1""",5,0.31,0.25,0.17,0.1,0.66,45.19,9
立川競輪,8R,14:22,2日目,Ａ,"=""4-1""","=""4-1-2""",3,"=""5-4-7""",2,0.38,0.29,0.23,0.1,0.73,50.37,7
平塚競輪,8R,14:37,2日目,Ｓ,"=""1-2""","=""1-2-5""",9,"=""1-7-2""",5,0.36,0.27,0.14,0.13,0.63,47.99,9
立川競輪,9R,14:57,2日目,Ａ,"=""3-2""","=""3-2-5""",6,"=""5-6-1""",3,0.36,0.3,0.2,0.12,0.68,47.54,7
平塚競輪,9R,15:13,2日目,Ｓ,"=""1-2""","=""1-2-3""",7,"=""3-9-1""",5,0.42,0.24,0.16,0.16,0.61,51.3,9
立川競輪,10R,15:32,2日目,Ａ,"=""1-4""","=""1-4-2""",3,"=""6-2-3""",1,0.23,0.23,0.15,0.1,0.56,34.85,7
玉野競輪,1R,15:40,2日目,Ａ,"=""2-3""","=""2-3-5""",4,"=""4-5-2""",1,0.48,0.36,0.15,0.14,0.7,53.25,5
平塚競輪,10R,15:50,2日目,Ｓ,"=""1-7""","=""1-7-2""",9,"=""9-2-3""",5,0.38,0.25,0.15,0.14,0.63,49.96,9
岐阜競輪,1R,15:58,最終日,チ,"=""2-5""","=""2-5-4""",1,"=""4-3-5""",1,0.22,0.15,0.14,0.12,0.42,29.3,5
立川競輪,11R,16:06,2日目,Ａ,"=""7-1""","=""7-1-3""",4,"=""3-5-4""",7,0.41,0.27,0.14,0.13,0.67,51.62,7
玉野競輪,2R,16:13,2日目,Ａ,"=""5-3""","=""5-3-2""",1,"=""2-1-3""",5,0.36,0.21,0.19,0.14,0.6,44.19,5
岐阜競輪,2R,16:20,最終日,チ,"=""1-5""","=""1-5-4""",2,"=""4-5-3""",2,0.12,0.11,0.11,0.1,0.18,12.84,5
