競輪場,レース番号,開始時間,開始日目,レース区分,2車単,3連単_1着,1着_補欠,3連単_3着以内,3着以内_補欠,A率,B率,C率,D率,CT値,スコア,選手数,運用判定
別府競輪,1R,08:30,初日,チ,"=""7-5""","=""7-5-3""",4,"=""7-5-4""",1,0.97,0.97,0.97,0.96,0.01,49.08,7,A-B-D-E
別府競輪,2R,08:50,初日,チ,"=""3-7""","=""3-7-4""",2,"=""7-3-4""",2,0.97,0.97,0.97,0.97,0.0,48.85,7,A-B-D-E
別府競輪,3R,09:10,初日,チ,"=""3-7""","=""3-7-5""",2,"=""7-3-2""",4,0.97,0.97,0.97,0.97,0.0,48.87,7,A-B-D-E
別府競輪,4R,09:30,初日,チ,"=""2-4""","=""2-4-5""",1,"=""4-5-2""",3,0.97,0.97,0.97,0.97,0.0,48.72,7,A-B-D-E
別府競輪,5R,09:50,初日,チ,"=""2-5""","=""2-5-1""",7,"=""5-2-1""",4,0.97,0.97,0.97,0.97,0.0,48.87,7,A-B-D-E
別府競輪,6R,10:10,初日,チ,"=""3-4""","=""3-4-2""",5,"=""3-4-2""",1,0.97,0.97,0.97,0.96,0.01,49.0,7,A-B-D-E
別府競輪,7R,10:30,初日,チ,"=""3-1""","=""3-1-5""",4,"=""3-1-4""",7,0.97,0.97,0.97,0.97,0.0,48.73,7,A-B-D-E
小田原競輪,1R,11:24,最終日,Ｓ,"=""5-1""","=""5-1-4""",3,"=""5-3-4""",2,0.97,0.97,0.97,0.96,0.01,48.73,5,A-B-D-E
小田原競輪,2R,11:52,最終日,Ｓ,"=""3-5""","=""3-5-2""",4,"=""5-1-4""",3,0.97,0.97,0.97,0.96,0.01,48.8,5,A-B-D-E
小田原競輪,3R,12:20,最終日,Ｓ,"=""3-2""","=""3-2-1""",5,"=""5-2-3""",4,0.97,0.97,0.97,0.97,0.0,48.82,8,A-B-D-E
小田原競輪,4R,12:48,最終日,Ｓ,"=""1-9""","=""1-9-2""",3,"=""2-3-9""",7,0.97,0.97,0.97,0.97,0.0,48.98,9,A-B-D-E
小松島競輪,6R,13:02,初日,Ｓ,"=""7-1""","=""7-1-3""",5,"=""7-5-3""",1,0.97,0.97,0.97,0.97,0.0,48.69,7,A-B-D-E
小田原競輪,5R,13:16,最終日,Ｓ,"=""3-5""","=""3-5-7""",2,"=""5-2-7""",3,0.97,0.97,0.97,0.97,0.0,48.81,9,A-B-D-E
小松島競輪,7R,13:30,初日,Ｓ,"=""5-2""","=""5-2-1""",4,"=""2-4-1""",5,0.97,0.97,0.97,0.97,0.0,48.71,7,A-B-D-E
小田原競輪,6R,13:44,最終日,Ｓ,"=""7-2""","=""7-2-1""",5,"=""3-1-7""",2,0.97,0.97,0.97,0.96,0.01,49.06,9,A-B-D-E
小松島競輪,8R,13:58,初日,Ｓ,"=""5-3""","=""5-3-1""",7,"=""5-7-3""",4,0.97,0.97,0.97,0.97,0.0,48.69,7,A-B-D-E
小田原競輪,7R,14:12,最終日,Ｓ,"=""5-9""","=""5-9-2""",3,"=""5-3-9""",2,0.97,0.97,0.97,0.97,0.0,49.02,9,A-B-D-E
小松島競輪,9R,14:27,初日,Ｓ,"=""4-7""","=""4-7-3""",5,"=""7-5-2""",4,0.97,0.97,0.97,0.97,0.0,48.74,7,A-B-D-E
小田原競輪,8R,14:42,最終日,Ｓ,"=""3-7""","=""3-7-1""",2,"=""2-7-3""",1,0.97,0.97,0.97,0.97,0.0,49.31,9,A-B-D-E
小松島競輪,10R,14:57,初日,Ｓ,"=""5-1""","=""5-1-7""",4,"=""5-7-4""",2,0.97,0.97,0.97,0.97,0.0,48.71,7,A-B-D-E
小田原競輪,9R,15:12,最終日,Ｓ,"=""1-9""","=""1-9-7""",2,"=""7-9-2""",3,0.97,0.97,0.97,0.97,0.0,49.06,9,A-B-D-E
小松島競輪,11R,15:28,初日,Ｓ,"=""4-1""","=""4-1-5""",2,"=""4-2-5""",7,0.97,0.97,0.97,0.97,0.0,48.72,7,A-B-D-E
小田原競輪,10R,15:44,最終日,Ｓ,"=""1-9""","=""1-9-2""",3,"=""2-1-9""",7,0.97,0.97,0.97,0.96,0.01,49.04,9,A-B-D-E
小松島競輪,12R,15:59,初日,Ｓ,"=""1-5""","=""1-5-2""",7,"=""1-5-7""",2,0.97,0.97,0.97,0.97,0.0,48.78,7,A-B-D-E
小田原競輪,11R,16:21,最終日,Ｓ,"=""5-1""","=""5-1-9""",2,"=""5-9-2""",1,0.97,0.97,0.97,0.97,0.0,48.93,9,A-B-D-E
名古屋競輪,6R,17:50,初日,Ｓ,"=""3-6""","=""3-6-5""",4,"=""3-4-6""",2,0.97,0.97,0.97,0.97,0.0,48.61,6,A-B-D-E
西武園競輪,6R,18:02,2日目,Ｓ,"=""2-1""","=""2-1-4""",5,"=""2-4-5""",3,0.97,0.97,0.97,0.96,0.01,48.89,6,A-B-D-E
名古屋競輪,7R,18:14,初日,Ｓ,"=""2-5""","=""2-5-4""",1,"=""4-2-3""",5,0.97,0.97,0.97,0.96,0.01,48.71,6,A-B-D-E
西武園競輪,7R,18:26,2日目,Ｓ,"=""3-5""","=""3-5-2""",4,"=""4-3-2""",6,0.97,0.97,0.97,0.97,0.0,48.62,6,A-B-D-E
名古屋競輪,8R,18:38,初日,Ｓ,"=""7-4""","=""7-4-3""",1,"=""7-3-4""",5,0.97,0.97,0.97,0.97,0.0,48.75,7,A-B-D-E
西武園競輪,8R,18:50,2日目,Ｓ,"=""7-4""","=""7-4-2""",1,"=""2-7-4""",5,0.97,0.97,0.97,0.97,0.0,48.76,7,A-B-D-E
名古屋競輪,9R,19:02,初日,Ｓ,"=""1-7""","=""1-7-2""",4,"=""1-7-2""",5,0.97,0.97,0.97,0.96,0.01,48.81,7,A-B-D-E
西武園競輪,9R,19:14,2日目,Ｓ,"=""1-3""","=""1-3-5""",2,"=""4-5-3""",7,0.97,0.97,0.97,0.97,0.0,48.78,7,A-B-D-E
名古屋競輪,10R,19:26,初日,Ｓ,"=""7-1""","=""7-1-3""",4,"=""7-4-5""",3,0.97,0.97,0.97,0.97,0.0,48.73,7,A-B-D-E
西武園競輪,10R,19:38,2日目,Ｓ,"=""7-4""","=""7-4-1""",5,"=""7-4-5""",3,0.97,0.97,0.97,0.97,0.0,48.76,7,A-B-D-E
名古屋競輪,11R,19:51,初日,Ｓ,"=""1-5""","=""1-5-2""",4,"=""1-4-7""",5,0.97,0.97,0.97,0.97,0.0,48.83,7,A-B-D-E
西武園競輪,11R,20:04,2日目,Ｓ,"=""5-1""","=""5-1-3""",7,"=""7-5-3""",4,0.97,0.97,0.97,0.96,0.01,48.86,7,A-B-D-E
名古屋競輪,12R,20:17,初日,Ｓ,"=""3-7""","=""3-7-2""",5,"=""2-1-3""",7,0.97,0.97,0.97,0.96,0.01,48.92,7,A-B-D-E
西武園競輪,12R,20:30,2日目,Ｓ,"=""3-5""","=""3-5-2""",1,"=""3-5-7""",1,0.97,0.97,0.97,0.97,0.0,48.79,7,A-B-D-E
玉野競輪,1R,20:49,2日目,チ,"=""1-3""","=""1-3-2""",5,"=""3-1-2""",4,0.97,0.97,0.97,0.96,0.0,48.79,7,A-B-D-E
奈良競輪,1R,20:57,2日目,チ,"=""2-4""","=""2-4-1""",3,"=""2-3-1""",6,0.97,0.97,0.97,0.96,0.01,48.94,6,A-B-D-E
玉野競輪,2R,21:13,2日目,チ,"=""2-1""","=""2-1-3""",4,"=""1-3-2""",4,0.97,0.97,0.97,0.97,0.0,48.92,7,A-B-D-E
奈良競輪,2R,21:21,2日目,チ,"=""1-2""","=""1-2-3""",4,"=""2-1-5""",4,0.97,0.97,0.97,0.97,0.0,48.69,6,A-B-D-E
玉野競輪,3R,21:37,2日目,チ,"=""1-2""","=""1-2-3""",4,"=""1-2-3""",4,0.97,0.97,0.97,0.97,0.0,48.7,7,A-B-D-E
奈良競輪,3R,21:45,2日目,チ,"=""2-5""","=""2-5-1""",3,"=""1-5-3""",2,0.97,0.96,0.96,0.96,0.01,49.03,7,A-B-D-E
玉野競輪,4R,22:01,2日目,チ,"=""2-3""","=""2-3-4""",1,"=""2-1-3""",5,0.97,0.97,0.97,0.96,0.01,49.11,7,A-B-D-E
